dataset,subset,modality,model,score,se,metric
Complex traits,All,Zero-shot,Evo2 1B,0.1221764588925482,0.0045420079807488,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,Evo2 1B,0.1102975479129712,0.0038831602942721,AUPRC
Complex traits,All,Zero-shot,Evo2 7B,0.1244663609015688,0.0056132540491427,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,Evo2 7B,0.1129973925564387,0.0053798759630334,AUPRC
Complex traits,All,Zero-shot,Evo2 40B,0.1388052970595873,0.0056872406633927,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,Evo2 40B,0.128126683464624,0.0070048505807476,AUPRC
Complex traits,All,Zero-shot,phyloP-100v,0.1839256378462665,0.0069420672348536,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,phyloP-100v,0.1713631877704854,0.0089455711029323,AUPRC
Complex traits,All,Zero-shot,phyloP-241m,0.2273603468075458,0.0084838162495702,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,phyloP-241m,0.2122830412435965,0.011063701514952,AUPRC
Complex traits,All,Zero-shot,phastCons-43p,0.2370561239210065,0.0092057015288115,AUPRC_by_chrom_weighted_average
Complex traits,All,Zero-shot,phastCons-43p,0.2245318283875286,0.0114433113045489,AUPRC
Complex traits,All,Linear probing,CADD,0.2838578271769417,0.0124061503301549,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,GPN-MSA,0.2693823806941055,0.0115201070889376,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Enformer,0.3033492001739871,0.0104471152627665,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Borzoi,0.2966878778665942,0.0140706127824204,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,GPN-Promoter,0.1866158177112148,0.0069752425989201,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,NT,0.1634136399926268,0.0059491083615816,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,HyenaDNA,0.1359482557408183,0.0083213828963946,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Caduceus,0.1508372665334505,0.0067128078812664,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Sei,0.1838824130267244,0.008017256843127,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,SpeciesLM,0.184829995158741,0.0075546675232692,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,AIDO.DNA,0.1520891209961166,0.0050497138635639,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Evo2 1B,0.1430104239850286,0.005252745453127,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Evo2 7B,0.1499249574883719,0.0049818275493332,AUPRC_by_chrom_weighted_average
Complex traits,All,Linear probing,Evo2 40B,0.1526967491484385,0.0070422929285694,AUPRC_by_chrom_weighted_average
