Признак,Среднее (нормальные),Среднее (локальные аномалии),Медиана (нормальные),Медиана (локальные аномалии),Разница средних,Абсолютная разница
pipeline tag_nan,-0.053364485245007656,0.4840921161511397,-0.11995202878081344,-0.11995202878081344,0.5374566013961474,0.5374566013961474
datasets :: HellaSwag,0.049680982284815906,-0.45067748215511544,0.19134798829483585,-0.3326328898506828,-0.5003584644399314,0.5003584644399314
UGI-Leaderboard :: UGI 🏆,-0.04755493641496932,0.4313912089072441,-0.018518528454661867,-0.018518528454661867,0.4789461453222134,0.4789461453222134
parameters_7B,0.04648972788455627,-0.42172824580990176,-0.5855400437691198,-0.5855400437691198,-0.46821797369445806,0.46821797369445806
architectural type_llama,0.046297719058098756,-0.41998645145561053,0.7643753416492111,-1.3082577962842268,-0.4662841705137093,0.4662841705137093
datasets :: TruthfulQA,0.04329200581311429,-0.3927203384475359,-0.13296462367429698,-0.20410514820000203,-0.43601234426065016,0.43601234426065016
UGI-Leaderboard :: Internet,-0.042838329341159186,0.3886048447376655,-0.041146395325163745,-0.041146395325163745,0.43144317407882465,0.43144317407882465
parameters_34B,0.04081670408064162,-0.3702658155886773,-0.3702658155886773,-0.3702658155886773,-0.41108251966931897,0.41108251966931897
version_v2,-0.038311689394579615,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.3858534431882657,0.3858534431882657
architectural type_codegen,-0.0383116893945793,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.38585344318826537,0.38585344318826537
real architecture_CodeGenForCausalLM,-0.0383116893945793,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.38585344318826537,0.38585344318826537
real architecture_Qwen2ForCausalLM,-0.03089220979817547,0.2802364745977367,-0.2762894819977688,-0.2762894819977688,0.3111286843959122,0.3111286843959122
architectural type_qwen2,-0.03089220979817547,0.2802364745977367,-0.2762894819977688,-0.2762894819977688,0.3111286843959122,0.3111286843959122
parameters_8B,-0.028590709018080678,0.25935857466401663,-0.17087153154335222,-0.17087153154335222,0.2879492836820973,0.2879492836820973
parameters_3B,-0.02859070901808072,0.25935857466401663,-0.17087153154335222,-0.17087153154335222,0.2879492836820973,0.2879492836820973
version_v1.0,0.025195381318085384,-0.2285581019569188,-0.22855810195691875,-0.22855810195691875,-0.2537534832750042,0.2537534832750042
is instruct/chat_True,-0.024077228177161583,0.21841485560711035,-0.4977826941743446,-0.4977826941743446,0.24249208378427195,0.24249208378427195
is instruct/chat_False,0.02407722817716143,-0.21841485560711035,0.49778269417434445,0.49778269417434445,-0.24249208378427178,0.24249208378427178
parameters_13B,0.02399868467561166,-0.21770235384305026,-0.4183300132670378,-0.4183300132670378,-0.24170103851866193,0.24170103851866193
architectural type_mixtral,0.02323983582275984,-0.2108185106778919,-0.21081851067789192,-0.21081851067789192,-0.23405834650065174,0.23405834650065174
real architecture_MixtralForCausalLM,0.02323983582275984,-0.2108185106778919,-0.21081851067789192,-0.21081851067789192,-0.23405834650065174,0.23405834650065174
version_v0.1,0.023239835822759757,-0.2108185106778919,-0.21081851067789192,-0.21081851067789192,-0.23405834650065166,0.23405834650065166
architectural type_mistral,0.0222486362829257,-0.20182691485225376,-0.40655781409087083,-0.40655781409087083,-0.22407555113517946,0.22407555113517946
real architecture_MistralForCausalLM,0.0222486362829257,-0.20182691485225376,-0.40655781409087083,-0.40655781409087083,-0.22407555113517946,0.22407555113517946
parameters_6.7B,0.021136830401305585,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,-0.21287807761314825,0.21287807761314825
real architecture_GemmaForCausalLM,0.02113683040130557,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,-0.21287807761314823,0.21287807761314823
architectural type_gemma,0.02113683040130557,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,-0.21287807761314823,0.21287807761314823
UGI-Leaderboard :: Unruly,-0.02004786251233157,0.18186275279043781,-0.0984776112095313,-0.0984776112095313,0.20191061530276938,0.20191061530276938
version_v1,0.01883623182367655,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,-0.1897077633670288,0.1897077633670288
parameters_70B,0.018836231823676493,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,-0.18970776336702874,0.18970776336702874
architectural type_gpt2,0.018836231823676424,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,-0.18970776336702866,0.18970776336702866
real architecture_GPT2LMHeadModel,0.018836231823676424,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,-0.18970776336702866,0.18970776336702866
parameters_22B,0.016253443985579673,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,-0.16369540014047684,0.16369540014047684
parameters_6B,0.016253443985579475,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,-0.16369540014047665,0.16369540014047665
parameters_4X7B,0.016253443985579184,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,-0.16369540014047634,0.16369540014047634
parameters_33B,0.016253443985579163,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,-0.16369540014047632,0.16369540014047632
parameters_2B,0.01322305829079835,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,-0.13317508707161177,0.13317508707161177
parameters_1.3B,0.013223058290798288,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,-0.13317508707161171,0.13317508707161171
version_v3,0.013223058290798258,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,-0.1331750870716117,0.1331750870716117
parameters_10.7B,0.013223058290798147,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,-0.13317508707161158,0.13317508707161158
version_v10,0.013223058290798182,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,-0.13317508707161158,0.13317508707161158
version_v2.0,0.013223058290798147,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,-0.13317508707161155,0.13317508707161155
version_v12,0.013223058290798147,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,-0.13317508707161155,0.13317508707161155
parameters_32B,0.013223058290798078,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,-0.1331750870716115,0.1331750870716115
parameters_60B,0.009316661075747672,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.09383208654859933,0.09383208654859933
parameters_9B,0.009316661075747659,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.09383208654859931,0.09383208654859931
parameters_14B,0.009316661075747659,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.09383208654859931,0.09383208654859931
parameters_10.2B,0.009316661075747617,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.09383208654859927,0.09383208654859927
parameters_1.1B,0.00931666107574759,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.09383208654859924,0.09383208654859924
version_v1.5,0.009316661075747548,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,-0.0938320865485992,0.0938320865485992
version_v11.1,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,-0.09383208654859916,0.09383208654859916
version_v1.9,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,-0.09383208654859916,0.09383208654859916
parameters_3X7B,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,-0.09383208654859916,0.09383208654859916
parameters_2X7B,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,-0.09383208654859916,0.09383208654859916
version_v6.1,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,-0.09383208654859916,0.09383208654859916
likes,-0.008198627489893208,0.07437326365831697,-0.3369096754082331,-0.3043665641784006,0.08257189114821017,0.08257189114821017
is instruct/chat_<NA>,0.0,0.0,0.0,0.0,0.0,0.0
