index,likes,downloads,datasets :: ARC,datasets :: Average,datasets :: GSM8K,datasets :: HellaSwag,datasets :: MMLU,datasets :: TruthfulQA,datasets :: Unnamed: 0,datasets :: Winogrande,version number,UGI-Leaderboard :: Internet,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: W/10 👍,created_at_numeric,pipeline tag_question-answering,pipeline tag_text-classification,pipeline tag_text-generation,pipeline tag_nan,architectural type_codegen,architectural type_deepseek_v2,architectural type_gemma,architectural type_gpt2,architectural type_gpt_bigcode,architectural type_llama,architectural type_mistral,architectural type_mixtral,architectural type_qwen2,architectural type_stablelm,architectural type_nan,real architecture_CodeGenForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_GPT2LMHeadModel,real architecture_GPTBigCodeForCausalLM,real architecture_GemmaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForSequenceClassification,real architecture_MistralForCausalLM,real architecture_MixtralForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_StableLmForCausalLM,real architecture_nan,parameters_0.5B,parameters_1.1B,parameters_1.3B,parameters_10.2B,parameters_10.7B,parameters_13B,parameters_14B,parameters_16B,parameters_22B,parameters_24B,parameters_2B,parameters_2X7B,parameters_32B,parameters_33B,parameters_34B,parameters_3B,parameters_3X7B,parameters_4B,parameters_4X7B,parameters_6.7B,parameters_60B,parameters_6B,parameters_70B,parameters_7B,parameters_8B,parameters_9B,parameters_nan,is instruct/chat_False,is instruct/chat_True,is instruct/chat_<NA>,version_v0.1,version_v1,version_v1.0,version_v1.3,version_v1.5,version_v1.9,version_v10,version_v11.1,version_v12,version_v13,version_v14,version_v2,version_v2.0,version_v3,version_v3.5,version_v4,version_v5,version_v6.1,version_nan,Latent_Factor_1,Latent_Factor_2,Latent_Factor_3,Latent_Factor_4,Latent_Factor_5,Latent_Factor_6,Latent_Factor_7,Latent_Factor_8,Latent_Factor_9,Latent_Factor_10
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,81,1052,0.3267918088737201,0.3414593698728914,0.0,0.476000796654053,0.2862565924952323,0.4040637694384942,2332,0.5556432517758485,,,,,,1683317045,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.5820553,-1.1360556,0.3836134,8.53649,-5.664883,3.9021168,-1.1217883,-1.1988374,3.1534886,-3.3482137
FelixChao/CodeLlama13B-Finetune-v1,0,1122,0.4581911262798634,0.4718719997228937,0.1099317664897649,0.6935869348735312,0.4504944013110719,0.4497302161076769,514,0.6692975532754538,1.0,,,,,1694624947,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6011345,-0.3677801,1.9160867,-0.6564138,0.06329079,-1.897381,2.257977,-0.6718265,0.099493384,0.71917474
Badgids/Gonzo-Code-7B,0,70,0.6126279863481229,0.6551221253945118,0.5140257771038665,0.8366859191396137,0.6276833367526471,0.5670183360220316,3290,0.7726913970007893,,,,,,1709399322,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.93211,0.6419687,-3.1531537,-0.87648076,2.1424615,0.44178814,-1.8007303,-2.3775756,1.3283858,1.3431985
Danielbrdz/CodeBarcenas-7b,0,1113,0.4232081911262799,0.4008842817903096,0.025018953752843,0.63433578968333,0.3338975584470319,0.3850567210157192,5510,0.6037884767166535,,,,,,1693779059,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0571198,0.0070081353,0.89668036,0.25117356,-0.2857364,0.48079053,1.3150359,0.42359245,-0.11027972,-0.47186998
invalid-coder/Starling-LM-7B-beta-laser-dpo,3,68,0.674061433447099,0.7014054389182652,0.6793025018953753,0.8337980481975702,0.6528595854636962,0.5546778364079819,2146,0.813733228097869,,,,,,1711701122,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.8449464,-0.051225945,-3.7377148,-0.93621165,2.32943,0.1950568,-2.0831022,-2.511017,2.047132,2.2274084
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,0,13764,0.712457337883959,0.7444788624951343,0.6535253980288097,0.8841864170483967,0.6630642110130035,0.7193856673502277,2144,0.8342541436464088,2.0,,,,,1704902818,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8.453104,4.4546394,-3.8064835,-6.5256457,-0.423004,1.27597,-2.4270778,0.9758279,0.54623514,5.129146
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,0,60,0.7107508532423208,0.7431982971415678,0.6474601971190296,0.8833897629954193,0.6628766834164657,0.7173010784992183,2147,0.8374112075769534,,,,,,1704916325,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.116942,4.4451857,-2.9822512,-3.8199055,0.1161454,1.2789911,-2.7542937,0.7329066,1.9391184,2.829708
invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,0,65,0.3302047781569966,0.3646382887411128,0.0121304018195602,0.5999800836486756,0.2688353997203466,0.3807832522108058,2143,0.595895816890292,,,,,,1711297346,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25694954,-1.4430959,-0.58329564,-0.8703573,-2.2763107,1.6587154,2.1569788,-0.33501858,-1.6156822,2.733588
invalid-coder/dolphin-2.1-mistral-7b-snr-laser,0,63,0.6382252559726962,0.6550152599463142,0.4723275208491281,0.8478390758812986,0.6363310543129166,0.5524167978867858,2145,0.7829518547750592,,,,,,1710790903,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.7404534,-0.0039597526,-3.5294578,-0.9475974,2.0213947,0.26753208,-1.3591104,-2.7045007,1.6614943,1.5465802
invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,1,60,0.6331058020477816,0.6503065164059901,0.4723275208491281,0.8428599880501892,0.6302177724205961,0.5474795541369116,2148,0.7758484609313339,,,,,,1710794164,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.7147334,-0.009427264,-3.7197797,-1.0534167,2.4143748,0.44867128,-1.8478819,-2.056061,0.78967446,1.3449466
itsliupeng/llama2_7b_code,2,1144,0.5213310580204779,0.4904591487284264,0.0811220621683093,0.7571200955984864,0.4805078852551697,0.3875988110597644,2896,0.7150749802683505,,,,,,1695893294,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.61921513,-0.4822218,-0.7089178,-0.5194758,0.41614258,0.38654336,0.27102888,-0.6966776,0.27671304,-0.1421006
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,2,63,0.2926621160409556,0.301795696841213,0.0,0.2613025293766182,0.2464302446713588,0.4997242001927576,208,0.510655090765588,,,,,,1706589314,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.6483846,-4.1407123,7.5732436,3.4997613,-4.494494,-2.4629474,5.687509,6.4971757,-4.0702057,3.1821175
lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,1,107,0.4351535836177474,0.4569360456152496,0.2373009855951478,0.6452897829117705,0.4085765765514828,0.3728328351495246,209,0.6424625098658248,,,,,,1706511619,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5032801,-1.285828,0.42378825,0.15010345,0.2553761,-0.5658313,1.2015362,-0.21399426,0.34775403,0.05804871
llm-agents/tora-code-7b-v1.0,18,1031,0.4069965870307167,0.4020508270248029,0.0492797573919636,0.6586337382991436,0.333365726771945,0.3484016861988524,3115,0.6156274664561957,1.0,,,,,1696741763,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78375524,-0.9305378,0.9743308,-1.5134028,0.2493361,0.46596783,1.7036468,0.81909704,-0.7314533,-1.0019335
