Признак,Среднее (нормальные),Среднее (аномальные),Медиана (нормальные),Медиана (аномальные),Стд. отклонение (нормальные),Стд. отклонение (аномальные),Разница средних,Абсолютная разница
parameters_60B,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337204,0.8511910708337204
real architecture_DeepseekV2ForCausalLM,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337204,0.8511910708337204
parameters_24B,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337203,0.8511910708337203
version_v1.3,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337203,0.8511910708337203
pipeline tag_text-classification,-0.08451542547285144,0.7666756453608687,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337201,0.8511910708337201
real architecture_LlamaForSequenceClassification,-0.08451542547285144,0.7666756453608687,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337201,0.8511910708337201
pipeline tag_question-answering,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,1.942890293094024e-16,3.069013051108078,0.85119107083372,0.85119107083372
real architecture_nan,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,1.942890293094024e-16,3.069013051108078,0.85119107083372,0.85119107083372
architectural type_nan,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,1.942890293094024e-16,3.069013051108078,0.85119107083372,0.85119107083372
real architecture_GPT2LMHeadModel,-0.07601764985983762,0.6895886808713857,-0.17087153154335222,-0.17087153154335222,0.7498857775700818,2.107688464382935,0.7656063307312233,0.7656063307312233
architectural type_gpt2,-0.07601764985983762,0.6895886808713857,-0.17087153154335222,-0.17087153154335222,0.7498857775700818,2.107688464382935,0.7656063307312233,0.7656063307312233
datasets :: TruthfulQA,-0.07536170826084528,0.6836383535090975,-0.13296462367429698,0.25059678992856566,0.9451002233753958,1.204083094306907,0.7590000617699428,0.7590000617699428
parameters_nan,-0.06411632756094317,0.581626685731413,-0.3450327796711772,-0.3450327796711772,0.9122415028966915,1.465177263013092,0.6457430132923562,0.6457430132923562
datasets :: Unnamed: 0,0.056100750153490385,-0.5089139478209489,-0.17340690674896286,-0.17340690674896286,0.9843732066639402,0.9968729136279388,-0.5650146979744393,0.5650146979744393
version_v0.1,-0.0547796130107907,0.49692934659788807,-0.21081851067789192,-0.21081851067789192,0.8652775454984342,1.7336211168737956,0.5517089596086787,0.5517089596086787
UGI-Leaderboard :: W/10 👍,-0.05422330562336028,0.49188284386906667,-0.07970517055896939,-0.07970517055896939,0.6568590174212765,2.426688188875283,0.546106149492427,0.546106149492427
version_v3,-0.05336448524500775,0.4840921161511397,-0.11995202878081344,-0.11995202878081344,0.7474433224136373,2.1779121371959596,0.5374566013961475,0.5374566013961475
parameters_32B,-0.05336448524500766,0.4840921161511398,-0.11995202878081344,-0.11995202878081344,0.7474433224136342,2.1779121371959596,0.5374566013961475,0.5374566013961475
parameters_10.7B,-0.053364485245007615,0.48409211615113984,-0.11995202878081344,-0.11995202878081344,0.7474433224136349,2.1779121371959596,0.5374566013961475,0.5374566013961475
parameters_7B,0.04648972788455616,-0.42172824580990176,-0.5855400437691198,-0.5855400437691198,1.0247016313835955,0.5906318370679081,-0.46821797369445795,0.46821797369445795
is instruct/chat_False,0.04381495592704414,-0.39746424305247413,0.49778269417434445,0.49778269417434445,0.9653343094361336,1.2010998049725923,-0.4412791989795183,0.4412791989795183
is instruct/chat_True,-0.04381495592704417,0.3974642430524741,-0.4977826941743446,-0.4977826941743446,0.9653343094361336,1.2010998049725923,0.44127919897951823,0.44127919897951823
parameters_34B,0.040816704080641635,-0.3702658155886773,-0.3702658155886773,-0.3702658155886773,1.0456850323660443,0.0,-0.41108251966931897,0.41108251966931897
version_nan,0.03951987083202026,-0.35850168540475635,0.6073977599851281,0.6073977599851281,0.9784570636650655,1.11532460961192,-0.3980215562367766,0.3980215562367766
architectural type_codegen,-0.0383116893945793,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.862750511560921,1.7846891467390118,0.38585344318826537,0.38585344318826537
real architecture_CodeGenForCausalLM,-0.0383116893945793,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.862750511560921,1.7846891467390118,0.38585344318826537,0.38585344318826537
parameters_6B,-0.038311689394579296,0.34754175379368607,-0.14744195615489714,-0.14744195615489714,0.862750511560921,1.7846891467390118,0.38585344318826537,0.38585344318826537
datasets :: HellaSwag,0.03443405482172975,-0.31236606873997647,0.19134798829483585,0.19134798829483585,0.964854630950967,1.2321135571078956,-0.3468001235617062,0.3468001235617062
real architecture_Qwen2ForCausalLM,-0.030892209798175498,0.28023647459773676,-0.2762894819977688,-0.2762894819977688,0.9464511822564579,1.3632046222732874,0.31112868439591224,0.31112868439591224
architectural type_qwen2,-0.030892209798175498,0.28023647459773676,-0.2762894819977688,-0.2762894819977688,0.9464511822564579,1.3632046222732874,0.31112868439591224,0.31112868439591224
datasets :: Winogrande,0.030171612188055284,-0.2736996248487794,-0.008516688643727226,-0.008516688643727226,0.9653160615538189,1.2390252578937073,-0.3038712370368347,0.3038712370368347
UGI-Leaderboard :: UGI 🏆,-0.029459783628111188,0.26724232291217304,-0.018518528454661867,-0.018518528454661867,0.4856595510548975,2.802231771505347,0.2967021065402842,0.2967021065402842
version number,0.02903491622604122,-0.2633881686219439,-0.210657738471873,-0.210657738471873,1.0447180040503565,0.30582139450570006,-0.2924230848479851,0.2924230848479851
parameters_70B,-0.028590709018080727,0.2593585746640167,-0.17087153154335222,-0.17087153154335222,0.9147377082803575,1.5512167081789865,0.28794928368209743,0.28794928368209743
version_v1.0,0.025195381318085384,-0.2285581019569188,-0.22855810195691875,-0.22855810195691875,1.0506392362274177,5.551115123125783e-17,-0.2537534832750042,0.2537534832750042
parameters_13B,0.02399868467561167,-0.21770235384305026,-0.4183300132670378,-0.4183300132670378,1.0231092424939154,0.723373313329513,-0.24170103851866193,0.24170103851866193
datasets :: ARC,0.02297242640548996,-0.20839272524980873,-0.0205150741993291,-0.0205150741993291,0.97227105320382,1.2032840622707648,-0.2313651516552987,0.2313651516552987
real architecture_MistralForCausalLM,-0.02288888480905295,0.20763488362498048,-0.40655781409087083,-0.40655781409087083,0.9759521204079226,1.176089476358301,0.23052376843403344,0.23052376843403344
architectural type_mistral,-0.02288888480905295,0.20763488362498048,-0.40655781409087083,-0.40655781409087083,0.9759521204079226,1.176089476358301,0.23052376843403344,0.23052376843403344
parameters_6.7B,0.0211368304013056,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,1.051540133637216,0.0,-0.21287807761314825,0.21287807761314825
architectural type_gemma,0.02113683040130557,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,1.0515401336372163,0.0,-0.21287807761314823,0.21287807761314823
real architecture_GemmaForCausalLM,0.02113683040130557,-0.19174124721184266,-0.19174124721184266,-0.19174124721184266,1.0515401336372163,0.0,-0.21287807761314823,0.21287807761314823
parameters_4B,0.0211368304013054,-0.19174124721184255,-0.1917412472118426,-0.1917412472118426,1.0515401336372163,5.551115123125783e-17,-0.21287807761314795,0.21287807761314795
parameters_3B,0.018836231823676584,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,1.0519804375856556,2.7755575615628914e-17,-0.18970776336702883,0.18970776336702883
version_v1,0.018836231823676528,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,1.0519804375856558,2.7755575615628914e-17,-0.18970776336702877,0.18970776336702877
parameters_8B,0.018836231823676493,-0.17087153154335225,-0.17087153154335222,-0.17087153154335222,1.0519804375856558,2.7755575615628914e-17,-0.18970776336702874,0.18970776336702874
datasets :: Average,0.018019971724617063,-0.1634668863590243,-0.129591363401368,-0.129591363401368,0.9732485177189161,1.2038228010257643,-0.18148685808364134,0.18148685808364134
parameters_4X7B,0.01625344398557917,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,1.0524141800905,2.7755575615628914e-17,-0.16369540014047634,0.16369540014047634
parameters_33B,0.01625344398557917,-0.14744195615489716,-0.14744195615489714,-0.14744195615489714,1.0524141800904998,2.7755575615628914e-17,-0.16369540014047634,0.16369540014047634
architectural type_mixtral,-0.015769888594015638,0.14305541795999824,-0.21081851067789192,-0.21081851067789192,0.9634691201249683,1.2759105947537968,0.1588253065540139,0.1588253065540139
real architecture_MixtralForCausalLM,-0.015769888594015638,0.14305541795999824,-0.21081851067789192,-0.21081851067789192,0.9634691201249683,1.2759105947537968,0.1588253065540139,0.1588253065540139
datasets :: MMLU,0.014930552139209978,-0.13544143726283936,0.031027409398942284,0.031027409398942284,0.9867458089722458,1.1038608090067101,-0.15037198940204935,0.15037198940204935
parameters_2B,0.013223058290798364,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,1.0528415068438421,2.7755575615628914e-17,-0.13317508707161177,0.13317508707161177
parameters_1.3B,0.013223058290798288,-0.11995202878081342,-0.11995202878081344,-0.11995202878081344,1.0528415068438421,2.7755575615628914e-17,-0.13317508707161171,0.13317508707161171
version_v10,0.013223058290798196,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,1.0528415068438417,2.7755575615628914e-17,-0.13317508707161158,0.13317508707161158
version_v12,0.013223058290798154,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,1.0528415068438417,2.7755575615628914e-17,-0.13317508707161155,0.13317508707161155
version_v2.0,0.013223058290798147,-0.11995202878081339,-0.11995202878081342,-0.11995202878081342,1.0528415068438417,2.7755575615628914e-17,-0.13317508707161155,0.13317508707161155
datasets :: GSM8K,0.01142534947679635,-0.103644241682367,-0.26290836061976686,-0.26290836061976686,0.9955205024541522,1.0340031707721626,-0.11506959115916335,0.11506959115916335
parameters_14B,0.009316661075747659,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.0532625592529277,0.0,-0.09383208654859931,0.09383208654859931
parameters_9B,0.009316661075747659,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.0532625592529274,0.0,-0.09383208654859931,0.09383208654859931
parameters_0.5B,0.009316661075747659,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.0532625592529277,0.0,-0.09383208654859931,0.09383208654859931
real architecture_GPTBigCodeForCausalLM,0.009316661075747617,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.053262559252928,0.0,-0.09383208654859927,0.09383208654859927
parameters_10.2B,0.009316661075747617,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.053262559252928,0.0,-0.09383208654859927,0.09383208654859927
architectural type_gpt_bigcode,0.009316661075747617,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.053262559252928,0.0,-0.09383208654859927,0.09383208654859927
parameters_1.1B,0.009316661075747603,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.0532625592529283,0.0,-0.09383208654859926,0.09383208654859926
version_v1.5,0.009316661075747561,-0.08451542547285165,-0.08451542547285165,-0.08451542547285165,1.0532625592529288,0.0,-0.09383208654859922,0.09383208654859922
parameters_16B,0.00931666107574754,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529314,1.3877787807814457e-17,-0.09383208654859919,0.09383208654859919
real architecture_StableLmForCausalLM,0.009316661075747534,-0.08451542547285165,-0.08451542547285167,-0.08451542547285167,1.0532625592529297,1.3877787807814457e-17,-0.09383208654859919,0.09383208654859919
architectural type_stablelm,0.009316661075747534,-0.08451542547285165,-0.08451542547285167,-0.08451542547285167,1.0532625592529297,1.3877787807814457e-17,-0.09383208654859919,0.09383208654859919
version_v13,0.009316661075747523,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529312,1.3877787807814457e-17,-0.09383208654859918,0.09383208654859918
version_v14,0.00931666107574752,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529312,1.3877787807814457e-17,-0.09383208654859918,0.09383208654859918
version_v4,0.00931666107574753,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529314,1.3877787807814457e-17,-0.09383208654859918,0.09383208654859918
version_v5,0.009316661075747513,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529312,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
parameters_2X7B,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529306,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
version_v1.9,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529299,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
version_v11.1,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529308,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
version_v6.1,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529306,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
parameters_3X7B,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529306,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
version_v3.5,0.009316661075747506,-0.08451542547285165,-0.08451542547285164,-0.08451542547285164,1.0532625592529294,1.3877787807814457e-17,-0.09383208654859916,0.09383208654859916
created_at_numeric,0.004824886017483571,-0.04376860887289872,0.048909057300936164,0.25034018871680846,0.7857032128368833,2.114057919440677,-0.04859349489038229,0.04859349489038229
downloads,0.003952163935068043,-0.03585177283954587,-0.11448361631910114,-0.11127520098884688,1.0518540859112908,0.1827566930722067,-0.03980393677461391,0.03980393677461391
is instruct/chat_<NA>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
