feature,inter_cluster_std,intra_cluster_mean_std,f_ratio
parameters_3X7B,0.024056261216234408,0.06804138174397717,0.35355339007365855
parameters_2X7B,0.024056261216234408,0.06804138174397717,0.35355339007365855
version_v6.1,0.024056261216234408,0.06804138174397717,0.35355339007365855
parameters_60B,0.024056261216234408,0.06804138174397717,0.35355339007365855
parameters_nan,0.06245188976271114,0.1779295959474659,0.3509921404309319
parameters_3B,0.02025790418209213,0.06160464171499464,0.3288373016262117
architectural type_gpt2,0.02025790418209213,0.06160464171499464,0.3288373016262117
real architecture_GPT2LMHeadModel,0.02025790418209213,0.06160464171499464,0.3288373016262117
parameters_8B,0.02025790418209213,0.061604641714994655,0.32883730162621166
parameters_70B,0.02025790418209213,0.061604641714994655,0.32883730162621166
UGI-Leaderboard :: Unruly,2.0914042874325194,6.513225717812191,0.3211011529480537
parameters_33B,0.015193428136569098,0.0535931414437719,0.2834957552200957
parameters_6B,0.015193428136569098,0.0535931414437719,0.2834957552200957
real architecture_CodeGenForCausalLM,0.015193428136569098,0.0535931414437719,0.2834957552200957
architectural type_codegen,0.015193428136569098,0.0535931414437719,0.2834957552200957
UGI-Leaderboard :: Internet,0.3018802027373341,1.1686399456692291,0.25831754581915195
version_v1.0,0.0416858989163253,0.16267224584257836,0.2562569827125888
is instruct/chat_False,0.10472113128711291,0.44155487344427113,0.2371644784407829
is instruct/chat_True,0.10472113128711288,0.44155487344427113,0.23716447844078284
version_v12,0.010128952091046065,0.0439552856813955,0.23043763476867762
version_v10,0.010128952091046065,0.0439552856813955,0.23043763476867762
parameters_32B,0.010128952091046065,0.0439552856813955,0.23043763476867762
version_v2.0,0.010128952091046065,0.0439552856813955,0.23043763476867762
parameters_2B,0.010128952091046065,0.0439552856813955,0.23043763476867762
parameters_1.3B,0.010128952091046065,0.0439552856813955,0.23043763476867762
version_v3,0.021966343861574148,0.0992609087967003,0.22129904013305252
downloads,40242.764089988596,190779.88572526127,0.21093819160758628
version_v2,0.02091971932931898,0.11199666742537266,0.18678876605484404
version_v1,0.02107242003713388,0.12163452318774907,0.1732437425457175
parameters_0.5B,0.0050644760455230324,0.031219527052723125,0.1622214206111473
parameters_1.1B,0.0050644760455230324,0.03121952705272313,0.1622214206111473
parameters_9B,0.0050644760455230324,0.03121952705272313,0.1622214206111473
parameters_10.2B,0.0050644760455230324,0.03121952705272313,0.1622214206111473
parameters_14B,0.0050644760455230324,0.031219527052723125,0.1622214206111473
version_v4,0.0050644760455230324,0.03121952705272313,0.1622214206111473
version_v1.3,0.0050644760455230324,0.031219527052723125,0.1622214206111473
version_v13,0.0050644760455230324,0.03121952705272313,0.1622214206111473
version_v5,0.0050644760455230324,0.03121952705272313,0.1622214206111473
parameters_16B,0.0050644760455230324,0.03121952705272313,0.1622214206111473
version_v11.1,0.0050644760455230324,0.031219527052723132,0.16222142061114728
version_v14,0.0050644760455230324,0.031219527052723132,0.16222142061114728
version_v3.5,0.0050644760455230324,0.031219527052723132,0.16222142061114728
architectural type_deepseek_v2,0.0050644760455230324,0.031219527052723132,0.16222142061114728
version_v1.9,0.0050644760455230324,0.031219527052723132,0.16222142061114728
version_v1.5,0.0050644760455230324,0.031219527052723132,0.16222142061114728
real architecture_StableLmForCausalLM,0.0050644760455230324,0.031219527052723132,0.16222142061114728
real architecture_LlamaForSequenceClassification,0.0050644760455230324,0.031219527052723132,0.16222142061114728
real architecture_GPTBigCodeForCausalLM,0.0050644760455230324,0.031219527052723132,0.16222142061114728
real architecture_DeepseekV2ForCausalLM,0.0050644760455230324,0.031219527052723132,0.16222142061114728
architectural type_stablelm,0.0050644760455230324,0.031219527052723132,0.16222142061114728
pipeline tag_text-classification,0.0050644760455230324,0.031219527052723132,0.16222142061114728
architectural type_gpt_bigcode,0.0050644760455230324,0.031219527052723132,0.16222142061114728
version_nan,0.035292712586471674,0.49464914035675595,0.07134898193471559
is instruct/chat_<NA>,0.0,0.0,0.0
LyraxiZen/UGI-Leaderboard :: I/10 📚,,0.4186961791021111,
LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,,0.060104076400856535,
LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,,0.06717514421272203,
LyraxiZen/UGI-Leaderboard :: Writing,,10.040916292848973,
assets :: ARC,,1.2657211383239144,
assets :: Average ⬆️,,1.3717871555019006,
assets :: GSM8K,,4.560838738653229,
assets :: HellaSwag,,0.5161879502661875,
assets :: Hub ❤️,,0.7071067811865476,
assets :: MMLU,,7.403407999023152,
assets :: TruthfulQA,,4.072935059634522,
assets :: Winogrande,,0.558614357137382,
beepbeepbruh/UGI-Leaderboard :: I/10 💡,,0.4186961791021111,
beepbeepbruh/UGI-Leaderboard :: Reg+Int 🏆,,0.06293250352560273,
beepbeepbruh/UGI-Leaderboard :: Reg+MyScore 🏆,,0.06929646455628168,
beepbeepbruh/UGI-Leaderboard :: UGI 🏆,,1.3293607486307073,
beepbeepbruh/UGI-Leaderboard :: Writing,,10.182337649086284,
data :: Average,,0.5010586791983548,
data :: Grounding ⚡️,,0.4738637126662245,
data :: Instruction Following 📝,,0.5073317007101512,
data :: Multilingual 🇬🇫,,0.11734097648266252,
data :: Planning 📅,,0.6391238178517952,
data :: Reasoning 💡,,0.4296510211788167,
data :: Refinement 🔩,,0.3919560736056574,
data :: Safety ⚠️,,0.6618399009922676,
data :: Theory of Mind 🤔,,0.5789143444256829,
data :: Tool Usage 🛠️,,0.5679716222104443,
freddyaboulton/gradio_leaderboard :: ARC,,1.2657211383239144,
freddyaboulton/gradio_leaderboard :: Average ⬆️,,1.3717871555019006,
freddyaboulton/gradio_leaderboard :: GSM8K,,4.560838738653229,
freddyaboulton/gradio_leaderboard :: HellaSwag,,0.5161879502661875,
freddyaboulton/gradio_leaderboard :: Hub ❤️,,0.7071067811865476,
freddyaboulton/gradio_leaderboard :: MMLU,,7.403407999023152,
freddyaboulton/gradio_leaderboard :: TruthfulQA,,4.072935059634522,
freddyaboulton/gradio_leaderboard :: Winogrande,,0.558614357137382,
freddyaboulton/gradio_leaderboard_demo :: ARC,,1.2657211383239144,
freddyaboulton/gradio_leaderboard_demo :: Average ⬆️,,1.3717871555019006,
freddyaboulton/gradio_leaderboard_demo :: GSM8K,,4.560838738653229,
freddyaboulton/gradio_leaderboard_demo :: HellaSwag,,0.5161879502661875,
freddyaboulton/gradio_leaderboard_demo :: Hub ❤️,,0.7071067811865476,
freddyaboulton/gradio_leaderboard_demo :: MMLU,,7.403407999023152,
freddyaboulton/gradio_leaderboard_demo :: TruthfulQA,,4.072935059634522,
freddyaboulton/gradio_leaderboard_demo :: Winogrande,,0.558614357137382,
UGI-Leaderboard :: ASSS⬇️,,1.5627059864222705,
UGI-Leaderboard :: Cor,,0.19798989873223333,
UGI-Leaderboard :: Dif,,0.5656854249492381,
UGI-Leaderboard :: Foundation,,0.7071067811865476,
UGI-Leaderboard :: MyScore 🏆,,0.03535533905932738,
UGI-Leaderboard :: PolContro,,5.868986283848345,
UGI-Leaderboard :: SMOG⬆️,,1.3788582233137672,
UGI-Leaderboard :: Score 🏆,,0.028991378028648443,
UGI-Leaderboard :: Stats,,5.020458146424488,
UGI-Leaderboard :: Std,,1.0606601717798212,
UGI-Leaderboard :: Yule⬇️,,0.2969848480983499,
