name,eval_date,num_params,clickable,hf_path,SCORE overall,SCORE object attributes,SCORE recognition,SCORE recognition-KO,SCORE relationship,SCORE KO-OCR,SCORE commonsense reasoning,SCORE document understanding,SCORE table understanding,SCORE graph and chart understanding,SCORE hallucination and robustness
gemini-2.0-flash-lite-preview-02-05,2025-02-12,,False,,65.23636363636363,59.833333333333336,75.0,60.0,43.66666666666666,68.0,72.66666666666667,80.33333333333333,71.66666666666667,63.33333333333333,60.0
claude-3-sonnet-20240229,2024-12-13,,False,,31.854545454545452,28.5,20.0,0.0,32.0,27.5,30.22222222222222,38.0,49.333333333333336,42.0,10.0
gemini-2.5-pro-preview-05-06,2025-05-09,,False,,88.98181818181818,84.66666666666667,90.0,90.0,77.66666666666667,95.0,89.33333333333334,100.0,96.66666666666666,91.33333333333331,70.0
InternVL2_5-26B,2024-12-16,25514186112.0,True,OpenGVLab/InternVL2_5-26B,44.94545454545454,57.5,25.0,10.0,34.0,55.0,60.66666666666666,32.0,39.66666666666667,40.0,36.0
Phi-3.5-vision-instruct,2024-12-16,4146621440.0,True,microsoft/Phi-3.5-vision-instruct,31.89090909090909,41.16666666666666,0.0,5.0,39.33333333333333,10.0,39.77777777777778,21.666666666666664,19.33333333333333,40.0,65.0
aya-vision-8b,2025-03-12,8631842032.0,True,CohereForAI/aya-vision-8b,44.43636363636364,70.66666666666666,75.0,25.0,48.33333333333333,5.0,72.66666666666667,27.666666666666664,9.666666666666666,14.666666666666666,60.0
Qwen2-VL-2B-Instruct,2024-12-11,2208985600.0,True,Qwen/Qwen2-VL-2B-Instruct,43.74545454545455,61.0,55.0,20.0,37.333333333333336,35.0,48.22222222222222,54.0,19.33333333333333,33.333333333333336,43.0
HyperCLOVAX-SEED-Vision-Instruct-3B,2025-04-24,3721243520.0,True,naver-hyperclovax/HyperCLOVAX-SEED-Vision-Instruct-3B,59.6,73.83333333333334,50.0,20.0,68.66666666666666,75.0,67.55555555555556,56.333333333333336,35.33333333333333,37.0,80.0
Qwen2.5-VL-32B-Instruct,2025-03-25,33452718336.0,True,Qwen/Qwen2.5-VL-32B-Instruct,74.43636363636364,77.0,65.0,60.0,65.66666666666666,70.0,82.44444444444443,70.33333333333333,80.33333333333333,71.33333333333334,86.0
Kimi-VL-A3B-Instruct,2025-04-16,16407656048.0,True,moonshotai/Kimi-VL-A3B-Instruct,51.27272727272727,64.33333333333334,50.0,5.0,55.66666666666666,65.0,56.0,41.333333333333336,33.333333333333336,48.66666666666666,50.0
gemini-2.5-flash-preview-04-17,2025-04-30,,False,,89.52727272727273,85.83333333333334,100.0,85.0,70.66666666666666,85.0,92.66666666666669,98.66666666666669,95.66666666666666,96.66666666666666,90.0
Qwen2-VL-7B-Instruct,2024-12-05,8291375616.0,True,Qwen/Qwen2-VL-7B-Instruct,63.16363636363637,73.16666666666666,50.0,40.0,56.0,70.0,74.88888888888889,64.33333333333334,50.0,53.33333333333333,60.0
InternVL2_5-8B,2024-12-09,8075365376.0,True,OpenGVLab/InternVL2_5-8B,44.18181818181818,56.333333333333336,25.0,5.0,40.66666666666666,30.0,57.333333333333336,44.0,21.33333333333333,56.66666666666667,41.0
SmolVLM-Instruct,2024-12-11,2246272880.0,True,HuggingFaceTB/SmolVLM-Instruct,21.30909090909091,14.0,0.0,5.0,36.333333333333336,5.0,31.33333333333333,21.0,8.666666666666668,36.66666666666666,38.0
gemma-3-27b-it,2025-03-13,27432406640.0,True,google/gemma-3-27b-it,67.56363636363636,66.33333333333334,90.0,40.0,68.0,85.0,83.77777777777779,47.333333333333336,55.66666666666666,73.33333333333333,50.0
llava-onevision-qwen2-72b-ov-sft,2024-12-09,73173689888.0,True,lmms-lab/llava-onevision-qwen2-72b-ov-sft,54.14545454545454,77.83333333333333,65.0,5.0,71.0,5.0,79.33333333333334,23.0,18.33333333333333,54.0,86.0
Pixtral-12B-2409,2024-12-05,12682739712.0,True,mistralai/Pixtral-12B-2409,44.61818181818182,61.66666666666667,65.0,10.0,45.66666666666666,10.0,65.11111111111111,17.666666666666664,23.666666666666668,56.0,40.0
Ovis2-34B,2025-02-12,34872912886.0,True,AIDC-AI/Ovis2-34B,64.32727272727273,81.0,80.0,35.0,77.0,45.0,80.88888888888889,37.66666666666666,40.0,60.0,70.0
gemma-3-4b-it,2025-03-13,4300079472.0,True,google/gemma-3-4b-it,49.2,68.83333333333334,75.0,5.0,45.66666666666666,30.0,78.44444444444444,23.0,18.0,48.66666666666666,41.0
gpt-4-turbo-2024-04-09,2024-12-05,,False,,65.19999999999999,76.66666666666667,90.0,60.0,76.33333333333334,30.0,80.0,47.333333333333336,39.33333333333333,64.66666666666667,80.0
InternVL3-38B,2025-04-25,38388164992.0,True,OpenGVLab/InternVL3-38B,68.98181818181818,75.5,55.0,30.0,70.66666666666666,70.0,82.44444444444443,71.66666666666667,55.0,56.66666666666667,86.0
Llama-3.2-11B-Vision-Instruct,2024-12-05,10670220835.0,True,meta-llama/Llama-3.2-11B-Vision-Instruct,50.36363636363636,55.5,80.0,25.0,62.0,62.5,58.66666666666666,36.0,24.666666666666668,46.66666666666667,50.0
InternVL3-8B,2025-04-14,7944373760.0,True,OpenGVLab/InternVL3-8B,55.81818181818182,58.5,25.0,20.0,62.333333333333336,70.0,66.44444444444444,47.333333333333336,40.33333333333333,65.33333333333333,54.0
Qwen2.5-Omni-7B,2025-03-31,8931813888.0,True,Qwen/Qwen2.5-Omni-7B,66.29090909090908,65.33333333333333,70.0,25.0,64.66666666666667,90.0,72.22222222222223,72.66666666666667,61.0,55.33333333333333,70.0
claude-3-haiku-20240307,2024-12-05,,False,,50.47272727272727,59.833333333333336,70.0,0.0,57.333333333333336,50.0,73.55555555555556,26.666666666666664,25.33333333333333,46.66666666666667,60.0
Llama-3.2-90B-Vision-Instruct,2024-12-09,88593355323.0,True,meta-llama/Llama-3.2-90B-Vision-Instruct,67.92727272727274,75.0,75.0,40.0,62.66666666666666,80.0,76.0,56.0,55.0,68.0,76.0
chatgpt-4o-latest (2025-01-29),2025-02-14,,False,,85.34545454545454,80.66666666666666,90.0,80.0,80.0,95.0,90.44444444444444,86.66666666666666,88.66666666666667,83.33333333333334,80.0
InternVL2-Llama3-76B,2024-12-09,76262358400.0,True,OpenGVLab/InternVL2-Llama3-76B,51.89090909090909,72.66666666666667,90.0,15.0,60.0,5.0,77.11111111111111,20.33333333333333,14.0,56.66666666666667,76.0
InternVL2-8B,2024-12-05,8075365376.0,True,OpenGVLab/InternVL2-8B,32.03636363636364,49.66666666666667,20.0,0.0,36.0,5.0,36.22222222222222,24.666666666666668,16.333333333333332,31.0,66.0
Qwen2-VL-72B-Instruct,2024-12-05,73405560320.0,True,Qwen/Qwen2-VL-72B-Instruct,74.76363636363637,86.66666666666666,80.0,45.0,62.66666666666666,75.0,83.11111111111111,64.0,84.33333333333334,61.333333333333336,70.0
Llama-4-Maverick-17B-128E-Instruct,2025-04-22,401583781376.0,True,meta-llama/Llama-4-Maverick-17B-128E-Instruct,76.94545454545454,79.16666666666667,70.0,20.0,74.33333333333334,78.0,76.44444444444444,86.0,80.0,83.33333333333334,80.0
InternVL3-1B,2025-04-25,938193024.0,True,OpenGVLab/InternVL3-1B,33.74545454545454,28.83333333333333,20.0,0.0,26.0,50.0,44.0,46.0,20.0,38.66666666666666,45.0
Qwen2.5-VL-3B-Instruct,2025-02-04,3754622976.0,True,Qwen/Qwen2.5-VL-3B-Instruct,49.56363636363636,54.333333333333336,40.0,10.0,32.333333333333336,85.0,55.11111111111112,53.66666666666666,48.33333333333333,42.0,40.0
llama-3.2-Korean-Bllossom-AICA-5B,2024-12-16,5198628129.0,True,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,40.18181818181819,47.83333333333333,35.0,0.0,43.33333333333333,35.0,51.55555555555556,36.66666666666666,23.0,50.66666666666666,20.0
