,Seatpost LENGTH,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,std,htd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,BB length,Wheel cut,BELTorCHAIN,Number of cogs,Number of chainrings,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,Down tube type OHCLASS: 0,Down tube type OHCLASS: 1,Down tube type OHCLASS: 2,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
3091,330.0,395.0,52.0,548.8796,74.0,115.0,50.0,543.0,74.0,638.84973,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,36.0,34.0,49.5,330.0,350.0,16.0,18.0,1.0,1.0,120.0,1.2777145,0.48517218,0.7156868,0.5966803,0.8799167,0.86937803,0.6456457,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,255.0,0.0,102.0,1.0,1.0,80.0,80.0,298.0,800.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3519,60.0,279.43,-118.0,387.6537,73.0,100.0,45.0,149.7,73.37697,398.45767,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,27.8,49.7,34.7,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.2167844,0.5539491,0.8921792,0.65643376,1.5923169,0.8135158,0.45110092,304.0,101.0,304.0,101.0,68.0,692.0,1.0,0.0,1.0,0.0,51.0,102.0,1.0,1.0,40.0,40.0,210.0,250.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4507,440.0,451.79,32.5,520.0789,65.0,110.0,50.0,432.4,77.0,732.0435,45.0,40.0,31.8,36.5,18.175,32.7,41.3,15.0,15.0,9.0,25.2,68.7,37.7,330.0,350.0,10.0,18.0,0.0,0.0,148.0,1.9674869,0.89865875,1.2486974,1.036912,0.9254996,0.6830925,1.1623613,736.0,114.0,736.0,114.0,73.0,692.0,1.0,10.0,0.0,55.0,182.0,255.0,1.0,1.0,80.0,80.0,278.0,734.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
631,250.0,370.0,-11.0,517.3744,73.5,115.0,37.0,287.4,77.5,641.5728,35.0,40.0,31.8,36.5,20.45,30.2,47.0,16.75,15.0,9.0,22.8,34.4,38.8,330.0,300.0,16.0,18.0,0.0,0.0,135.0,4.2875304,2.9247355,2.3503962,1.542724,1.0801078,2.287114,1.3624492,660.4,95.4,660.4,95.4,68.0,692.0,1.0,0.0,0.0,153.0,153.0,153.0,1.0,1.0,80.0,80.0,257.0,333.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2855,330.0,405.0,63.3,574.30896,73.0,144.6,75.0,530.0,74.5,639.2783,45.0,60.0,40.0,44.5,20.45,31.8,45.0,15.0,15.0,9.0,33.0,64.4,55.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.8850179,0.86396843,0.7400165,2.0283575,0.77118075,0.86154205,0.97137904,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,298.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3078,330.0,430.0,64.5,635.0114,72.0,169.6,40.0,540.0,73.0,672.512,47.0,40.0,35.0,44.0,18.625,35.0,44.0,14.4,15.0,9.0,35.9,39.2,54.5,330.0,350.0,16.0,18.0,1.0,1.0,135.0,1.9038335,0.27671182,0.84974104,0.7962206,0.3706956,0.9555141,0.47547007,689.0,67.0,689.0,67.0,68.0,692.0,1.0,10.0,0.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,270.0,777.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2953,330.0,405.0,70.0,593.53656,73.0,145.0,45.0,515.3,74.0,654.3957,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,28.9,49.3,49.3,330.0,350.0,16.0,18.0,1.0,1.0,130.0,10.575578,2.6324656,3.6430156,2.4142735,5.20015,5.8081264,3.033349,674.0,52.0,674.0,52.0,68.0,692.0,1.0,9.0,1.0,255.0,51.0,0.0,1.0,1.0,80.0,80.0,298.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1366,150.0,405.0,70.0,485.7558,74.5,96.4,45.0,550.0,44.5,576.0208,45.0,40.0,27.0,28.8,20.45,28.8,31.8,15.0,15.0,9.0,30.0,-10.0,30.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,3.0495448,1.1182439,0.93752086,0.8218757,1.0898416,0.98410636,0.7733274,614.0,52.0,674.0,43.0,68.0,692.0,1.0,5.0,1.0,102.0,153.0,255.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2536,300.0,405.0,70.0,588.5638,73.0,139.8,45.0,514.8,73.0,628.44556,45.0,40.0,31.8,34.9,20.45,31.8,45.0,14.4,15.0,9.0,34.0,48.8,49.8,350.0,350.0,16.0,18.0,1.0,0.0,130.0,2.064232,0.8844333,1.6260399,0.84958893,0.76818824,0.7782232,0.8345999,674.0,52.0,674.0,52.0,68.0,692.0,1.0,9.0,1.0,9.0,20.0,171.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2011,100.0,375.0,0.0,498.95953,73.0,108.0,38.0,268.2,74.0,593.3781,45.0,40.0,31.0,32.0,19.775,29.0,40.0,18.5,15.0,9.0,27.7,33.2,41.9,330.0,350.0,16.0,18.0,0.0,0.0,130.0,0.82611895,0.5013867,0.42381653,0.4739478,0.7297906,0.3663511,0.2682691,611.0,104.0,611.0,104.0,68.0,692.0,1.0,0.0,0.0,0.0,102.0,255.0,1.0,1.0,80.0,80.0,210.0,310.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
708,150.0,320.0,1.0,515.62897,73.0,120.0,45.0,227.5,74.0,609.24817,45.0,40.0,41.1,50.0,25.2,31.8,45.0,20.0,15.0,9.0,24.1,57.5,48.2,330.0,300.0,16.0,18.0,0.0,0.0,130.0,1.5721979,1.3546884,1.5354944,1.6513635,1.6983466,1.3422716,1.130681,530.0,100.0,500.0,100.0,68.0,692.0,1.0,0.0,0.0,204.0,255.0,0.0,1.0,1.0,80.0,80.0,200.0,350.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1459,300.0,405.0,35.0,540.09106,71.0,140.0,45.0,450.0,72.0,612.5331,45.0,40.0,31.8,54.9,21.425,30.2,50.0,15.0,15.0,9.0,26.0,240.0,61.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,3.731572,1.3014687,2.3707983,3.2860544,2.4504023,1.5253992,2.0134404,674.0,52.0,674.0,52.0,68.0,692.0,1.0,6.0,0.0,255.0,255.0,204.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1318,300.0,429.97,40.0,566.7094,68.5,127.4,40.0,357.1,74.0,675.9016,0.0,40.0,40.0,37.5,23.275,35.0,50.0,18.75,15.0,9.0,34.6,32.1,47.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,2.8882005,3.2058678,2.7039773,1.8713038,1.5797914,3.543056,1.5856943,736.0,114.0,736.0,114.0,68.0,692.0,1.0,0.0,0.0,0.0,105.0,132.0,1.0,1.0,80.0,80.0,278.0,450.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3821,100.0,425.0,73.0,601.73895,73.0,150.0,145.0,692.1,72.5,660.4773,52.0,40.0,31.8,37.5,19.025,31.8,51.3,15.0,15.0,9.0,31.5,147.1,54.3,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.6016587,0.48793384,0.67965406,0.5173816,0.73252326,0.6443251,0.7119357,694.0,72.0,694.0,72.0,68.0,692.0,1.0,10.0,1.0,89.0,89.0,35.0,1.0,1.0,80.0,80.0,265.0,800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
571,300.0,386.0,40.0,419.30737,74.5,90.0,80.0,563.8,73.0,536.5923,30.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,33.7,23.8,34.3,330.0,300.0,16.0,18.0,0.0,0.0,130.0,2.4915624,1.0422225,1.326225,2.163415,3.006475,1.1829443,1.3624309,600.0,52.0,674.0,41.0,68.0,692.0,1.0,0.0,0.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4499,250.0,460.0,45.0,614.96136,71.0,175.0,40.0,550.0,67.0,617.5196,70.0,40.0,25.4,28.0,14.9,28.8,33.0,11.35,11.1,9.0,19.5,435.0,30.0,330.0,400.0,14.0,18.0,1.0,1.0,112.0,1.8462089,1.6670989,1.9180661,0.9124138,1.7542484,0.88585556,1.3671757,692.0,57.0,692.0,57.0,68.0,692.0,1.0,2.0,0.0,0.0,51.0,204.0,1.0,1.0,80.0,80.0,270.0,675.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4669,330.0,420.0,60.0,599.81665,72.0,174.6,30.0,555.0,73.5,643.6748,40.0,40.0,30.75,50.0,20.45,31.8,52.0,14.0,15.0,9.0,30.0,25.0,50.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,7.218339,1.790807,4.2449436,2.1371655,1.8000752,1.4201175,2.430276,689.0,67.0,689.0,67.0,68.0,695.0,1.0,11.0,0.0,51.0,102.0,255.0,1.0,1.0,80.0,80.0,280.0,760.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4099,150.0,440.0,65.0,645.2356,72.0,200.0,45.0,580.0,72.0,657.3864,52.0,40.0,31.7,35.0,18.425,33.0,39.0,14.25,10.0,7.0,30.1,32.8,45.8,370.0,372.0,14.0,18.0,1.0,1.0,130.0,1.8645723,0.7162061,1.1856073,0.74519956,0.8044989,0.65257674,0.5419544,700.0,78.0,700.0,78.0,68.0,692.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,763.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
304,80.0,405.0,70.0,595.4291,74.0,145.0,45.0,357.4,74.5,657.0533,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,24.0,57.4,55.4,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2.4639978,1.1071377,1.3764054,0.9432342,2.4294877,1.4777209,0.990043,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,460.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
451,250.0,368.3,-14.0,458.85242,73.0,105.0,37.0,275.8,77.0,579.61505,45.0,40.0,31.8,36.5,20.45,30.2,47.0,16.75,15.0,9.0,16.4,35.8,38.4,330.0,350.0,16.0,18.0,0.0,0.0,135.0,0.81445485,0.5863465,0.5116446,0.5218468,0.37867877,0.330173,0.3840014,660.4,95.4,660.4,95.4,68.0,692.0,1.0,0.0,0.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,257.0,333.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3261,115.0,405.0,65.0,587.43567,72.0,147.7,130.0,599.9,73.8,625.9673,45.0,45.0,30.2,38.5,21.775,29.4,45.0,15.0,15.0,9.0,21.2,107.3,40.2,330.0,350.0,16.0,18.0,1.0,0.0,130.0,3.2591362,1.4587454,1.4377077,1.4937574,1.9948217,1.544821,0.99358356,680.0,58.0,680.0,58.0,68.0,692.0,1.0,8.0,1.0,70.0,95.0,73.0,1.0,1.0,80.0,80.0,290.0,699.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1530,300.0,370.0,54.0,545.7961,74.0,123.0,50.0,590.0,75.0,633.4725,35.0,40.0,35.0,50.0,22.0,31.8,45.0,15.0,15.0,9.0,32.6,35.0,57.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,2.9522538,2.1133742,1.4860115,1.4590123,2.8282862,0.9196877,2.2770507,674.0,58.0,680.0,52.0,68.0,692.0,1.0,0.0,0.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,278.0,750.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
952,300.0,425.0,68.0,613.26105,72.0,170.0,45.0,595.0,73.5,649.99646,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,37.7,47.2,48.3,330.0,300.0,16.0,18.0,0.0,0.0,130.0,1.3314352,0.9533475,0.52742314,0.590414,1.2292206,0.6098604,0.6857654,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,767.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1948,230.0,415.0,74.045586,564.5191,73.286896,132.0,30.0,564.3,73.286896,630.3596,25.0,41.65,26.0,28.0,20.45,28.0,32.2,13.5,15.0,13.0,25.4,14.3,36.0,330.0,350.0,16.0,18.0,1.0,0.0,130.0,1.0683624,0.40637395,0.66823786,0.8495137,0.8408253,0.77767813,0.55600005,685.0,75.0,685.0,75.0,69.0,692.0,1.0,0.0,0.0,204.0,204.0,204.0,1.0,1.0,80.0,80.0,278.0,775.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
