Model,Framework,Scenario,Problem,Runs,Successes
claude-3.5-sonnet-20240620,react,customersupport,ticketSubmission,10,0
claude-3.5-sonnet-20240620,react,customersupport,ticketVolume,10,10
claude-3.5-sonnet-20240620,react,customersupport,trackArticleViews,10,10
claude-3.5-sonnet-20240620,react,customersupport,uniqueTicketId,10,10
claude-3.5-sonnet-20240620,react,customersupport,userReply,10,10
claude-3.5-sonnet-20240620,react,customersupport,userResponseNotification,10,10
claude-3.5-sonnet-20240620,react,ecommerce,addProductReview,10,10
claude-3.5-sonnet-20240620,react,ecommerce,addToCart,10,10
claude-3.5-sonnet-20240620,react,ecommerce,applyDiscountCode,10,10
claude-3.5-sonnet-20240620,react,ecommerce,applyLoyaltyPoints,10,10
claude-3.5-sonnet-20240620,react,ecommerce,approveOrDisapproveReviews,10,0
claude-3.5-sonnet-20240620,react,ecommerce,calculateCartSubtotal,10,10
claude-3.5-sonnet-20240620,react,ecommerce,calculateShippingCost,10,10
claude-3.5-sonnet-20240620,react,ecommerce,calculateTaxes,10,10
claude-3.5-sonnet-20240620,react,ecommerce,calculateTotalCost,10,10
claude-3.5-sonnet-20240620,react,ecommerce,calculateTotalWithDiscount,10,10
claude-3.5-sonnet-20240620,react,ecommerce,deleteProductReview,10,10
claude-3.5-sonnet-20240620,react,ecommerce,displayAverageRating,10,10
claude-3.5-sonnet-20240620,react,ecommerce,displayProductDetails,10,0
claude-3.5-sonnet-20240620,react,ecommerce,displayRelatedProducts,10,10
claude-3.5-sonnet-20240620,react,ecommerce,displayStockStatus,10,10
claude-3.5-sonnet-20240620,react,ecommerce,displayTotalReviews,10,10
claude-3.5-sonnet-20240620,react,ecommerce,filterByBrand,10,10
claude-3.5-sonnet-20240620,react,ecommerce,filterByCategory,10,10
claude-3.5-sonnet-20240620,react,ecommerce,filterByPriceRange,10,10
claude-3.5-sonnet-20240620,react,ecommerce,filterReviewsByRating,10,10
claude-3.5-sonnet-20240620,react,ecommerce,flagInappropriateReviews,10,10
claude-3.5-sonnet-20240620,react,ecommerce,generateInvoice,10,10
claude-3.5-sonnet-20240620,react,ecommerce,generateOrderConfirmationNumber,10,10
claude-3.5-sonnet-20240620,react,ecommerce,handlePaymentFailures,10,10
claude-3.5-sonnet-20240620,react,ecommerce,paginateProductListings,10,10
claude-3.5-sonnet-20240620,react,ecommerce,processBankTransferPayment,10,10
claude-3.5-sonnet-20240620,react,ecommerce,processCreditCardPayment,10,10
claude-3.5-sonnet-20240620,react,ecommerce,processPayment,10,10
claude-3.5-sonnet-20240620,react,ecommerce,processPayPalPayment,10,10
claude-3.5-sonnet-20240620,react,ecommerce,refundPayment,10,10
claude-3.5-sonnet-20240620,react,ecommerce,removeFromCart,10,10
claude-3.5-sonnet-20240620,react,ecommerce,saveCartState,10,10
claude-3.5-sonnet-20240620,react,ecommerce,saveOrderDetails,10,10
claude-3.5-sonnet-20240620,react,ecommerce,saveTransactionDetails,10,10
claude-3.5-sonnet-20240620,react,ecommerce,searchByKeyword,10,10
claude-3.5-sonnet-20240620,react,ecommerce,sendOrderConfirmationEmail,10,10
claude-3.5-sonnet-20240620,react,ecommerce,sortByPriceAsc,10,10
claude-3.5-sonnet-20240620,react,ecommerce,sortByRatingHigh,10,10
claude-3.5-sonnet-20240620,react,ecommerce,sortReviewsByDate,10,10
claude-3.5-sonnet-20240620,react,ecommerce,sortReviewsByHelpfulness,10,10
claude-3.5-sonnet-20240620,react,ecommerce,updateCartQuantity,10,10
claude-3.5-sonnet-20240620,react,ecommerce,updateProductReview,10,10
claude-3.5-sonnet-20240620,react,ecommerce,updateProductStock,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validateBillingAddress,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validateCreditCardNumber,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validateCVV,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validateExpirationDate,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validatePaymentInformation,10,10
claude-3.5-sonnet-20240620,react,ecommerce,validateShippingAddress,10,10
claude-3.5-sonnet-20240620,react,ecommerce,verifyPaymentConfirmation,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,attendeeDetailUpdate,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,attendeeEmail,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,attendeeName,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,attendeePhoneNumber,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,confirmationEmail,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,dietaryRestrictions,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,duplicateRegistrations,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventAccessibilityOptions,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventAnalytics,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventArchiving,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventCancellation,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventDuplication,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventNotifications,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventSearch,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,eventUpdates,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,feedbackForms,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,groupRegistrations,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,registrationDeadline,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,specialRequests,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,sponsorDisplay,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateAgendaItemCategorization,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateAgendaItemDescription,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateAgendaItemTiming,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateAgendaItemTitle,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateAgendaUpdates,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateCalendarExport,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateConcurrentSessions,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventCategory,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventDescription,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventEndDate,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventImageUpload,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventLocation,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventStartDate,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventTags,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventTitle,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateEventType,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateMaximumAttendees,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateScheduledBreaks,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateSessionReminders,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateSoldOutTickets,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateSpeakerAssignment,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketDescription,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketDiscounts,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketDuplication,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketPrice,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketQuantity,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketRefunds,10,0
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketSalesEndDate,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketSalesStartDate,10,10
claude-3.5-sonnet-20240620,react,eventmanagement,validateTicketType,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,awardBadgesForMilestones,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,calculateCyclingSpeed,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,calculateDailyCalorieIntake,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,calculateRunningPace,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,caloriesBurned,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,categorizeActivity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,compareCalorieIntakeToGoal,10,0
claude-3.5-sonnet-20240620,react,fitnesstracking,compareProgressWithFriends,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,connectWearableDevice,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,createActivity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,customWorkoutPlans,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,dailyGoalAchievementNotification,10,0
claude-3.5-sonnet-20240620,react,fitnesstracking,deleteActivity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,deleteDailyGoal,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,detailedStatistics,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,editActivity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,editDailyGoal,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,evaluateCustomWorkoutPlans,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,exportDataToCsv,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,historicalData,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,importDataFromCsv,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,joinFitnessChallenges,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logMeals,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logMood,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logOutdoorActivity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logSleepHours,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logStrengthTraining,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logWaterIntake,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logWeight,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,logYogaSession,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,monthlySummary,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,predictFutureAchievements,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,provideSuggestionsForGoals,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,provideWeatherUpdates,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,setCalorieIntakeGoal,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,setDailyGoal,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,setTargetHeartRateZone,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,setWeightGoal,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,summarizeStrengthTrainingProgress,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,syncDataFromWearable,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,totalDistanceCovered,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,totalYogaDuration,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,trackMoodChanges,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,trackProgressInChallenges,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,trackRouteUsingGps,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,trackWaterIntake,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,trackWorkoutIntensity,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,viewProgress,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,weeklyAverageSleep,10,10
claude-3.5-sonnet-20240620,react,fitnesstracking,workoutReminder,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,addNewProductToCatalog,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,addNewSupplier,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,alertOnSupplierContractExpiration,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,analyzeInventoryTurnover,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,applyDiscountsOnOrders,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,deleteProductFromCatalog,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,deleteSupplier,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,editProductDetails,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,editSupplierDetails,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,filterProductsByCategory,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,filterProductsBySupplier,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,generateInvoiceForSalesOrder,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,generatePurchaseOrderReceipt,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,generateSupplierPaymentHistory,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,generateSupplierPerformanceReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,handleBackorders,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,handleReturns,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,inventoryPerformanceReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,linkProductToSupplier,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,manageMultipleWarehouses,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,manageOrderCancellations,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,manageStockTransfers,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,manageSupplierContacts,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,monitorStockExpirationDates,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,monitorStockLevels,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,processPurchaseOrder,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,processSalesOrder,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,profitMarginReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,purchaseReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,rateSupplierPerformance,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,receiveAutomatedReorderAlerts,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,reorderReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,salesReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,searchProductByName,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,searchProductBySKU,10,0
claude-3.5-sonnet-20240620,react,inventorymanagement,setReorderLevel,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,setStockThresholds,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,sortProductsByName,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,sortProductsByStockLevel,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,stockLevelReport,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,totalInventoryValue,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,totalPurchaseValue,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,totalSalesValue,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackDamagedStock,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackInventoryByLocation,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackOrderShipmentStatus,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackPurchaseOrders,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackSalesOrders,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,trackSupplierOrders,10,10
claude-3.5-sonnet-20240620,react,inventorymanagement,viewProductDetails,10,10
claude-3.5-sonnet-20240620,react,jobboard,anonymousApplications,10,10
claude-3.5-sonnet-20240620,react,jobboard,applicationNotifications,10,10
claude-3.5-sonnet-20240620,react,jobboard,applicationStatusTracking,10,0
claude-3.5-sonnet-20240620,react,jobboard,applicationWithLinkedIn,10,10
claude-3.5-sonnet-20240620,react,jobboard,applyForJobs,10,10
claude-3.5-sonnet-20240620,react,jobboard,bookmarkJobs,10,10
claude-3.5-sonnet-20240620,react,jobboard,bulkJobPosting,10,10
claude-3.5-sonnet-20240620,react,jobboard,companyProfiles,10,10
claude-3.5-sonnet-20240620,react,jobboard,coverLetterAttachments,10,10
claude-3.5-sonnet-20240620,react,jobboard,deleteJobPosts,10,10
claude-3.5-sonnet-20240620,react,jobboard,duplicateApplicationDetection,10,10
claude-3.5-sonnet-20240620,react,jobboard,duplicateJobPostDetection,10,10
claude-3.5-sonnet-20240620,react,jobboard,editJobPosts,10,10
claude-3.5-sonnet-20240620,react,jobboard,employerApplicationReview,10,10
claude-3.5-sonnet-20240620,react,jobboard,employerVerification,10,10
claude-3.5-sonnet-20240620,react,jobboard,filterJobPostsByCategory,10,10
claude-3.5-sonnet-20240620,react,jobboard,filterJobPostsByLocation,10,10
claude-3.5-sonnet-20240620,react,jobboard,highlightKeywords,10,0
claude-3.5-sonnet-20240620,react,jobboard,interviewNotifications,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobAlerts,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostAnalytics,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostCategories,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostCharacterLimits,10,0
claude-3.5-sonnet-20240620,react,jobboard,jobPostComments,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostExpiration,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostLocations,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostRatings,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostTemplates,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobPostValidation,10,0
claude-3.5-sonnet-20240620,react,jobboard,jobPostVisibility,10,10
claude-3.5-sonnet-20240620,react,jobboard,jobSeekerProfiles,10,10
claude-3.5-sonnet-20240620,react,jobboard,postNewJob,10,0
claude-3.5-sonnet-20240620,react,jobboard,profileCompletenessMeter,10,10
claude-3.5-sonnet-20240620,react,jobboard,profileVisibilityControl,10,10
claude-3.5-sonnet-20240620,react,jobboard,rateCandidates,10,10
claude-3.5-sonnet-20240620,react,jobboard,rejectingApplications,10,10
claude-3.5-sonnet-20240620,react,jobboard,resubmitApplication,10,10
claude-3.5-sonnet-20240620,react,jobboard,salaryRangeSpecification,10,10
claude-3.5-sonnet-20240620,react,jobboard,saveJobPostsAsDrafts,10,10
claude-3.5-sonnet-20240620,react,jobboard,saveJobSearches,10,10
claude-3.5-sonnet-20240620,react,jobboard,scheduleInterviews,10,10
claude-3.5-sonnet-20240620,react,jobboard,searchJobPosts,10,10
claude-3.5-sonnet-20240620,react,jobboard,setupJobAlerts,10,10
claude-3.5-sonnet-20240620,react,jobboard,shareJobPost,10,10
claude-3.5-sonnet-20240620,react,jobboard,shortlistingCandidates,10,10
claude-3.5-sonnet-20240620,react,jobboard,sortJobPosts,10,10
claude-3.5-sonnet-20240620,react,jobboard,uploadResumes,10,10
claude-3.5-sonnet-20240620,react,jobboard,viewingCompanyProfiles,10,10
claude-3.5-sonnet-20240620,react,jobboard,viewJobPosts,10,10
claude-3.5-sonnet-20240620,react,jobboard,withdrawJobApplications,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,addSongToPlaylist,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,addSongToQueue,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,albumSearch,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,artistSearch,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,browseGenres,10,0
claude-3.5-sonnet-20240620,react,musicstreaming,continueListening,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,createPlaylist,10,1
claude-3.5-sonnet-20240620,react,musicstreaming,crossfade,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,currentPlaybackTime,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,deleteDownloadedSong,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,deletePlaylist,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,discoverNewArtists,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,explicitContentFilter,10,0
claude-3.5-sonnet-20240620,react,musicstreaming,filterByArtist,10,4
claude-3.5-sonnet-20240620,react,musicstreaming,filterByPopularity,10,0
claude-3.5-sonnet-20240620,react,musicstreaming,filterByReleaseDate,10,0
claude-3.5-sonnet-20240620,react,musicstreaming,genreSearch,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,likeSong,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,muteUnmute,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,newReleases,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,nextSong,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,offlineMode,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,pauseSong,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,playbackQueue,10,10
claude-3.5-sonnet-20240620,react,musicstreaming,playbackSpeedControl,10,10
