author/model_name,Score,Behavior,8k 🪡,16k 🪡,24k 🪡,32k 🪡,Size,New,Base,Model Link,Settings
Retreatcost/KansenSakura-Radiance-RP-12b,46,6,68,47,,,12B,,,https://huggingface.co/Retreatcost/KansenSakura-Radiance-RP-12b,1
TheDrummer/Cydonia-24B-v4.2.0,97,10,96,98,81,61,24B,🆕,,https://huggingface.co/TheDrummer/Cydonia-24B-v4.2.0,v4r
mistralai/Magistral-Small-2509,88,10,95,81,,,24B,,TRUE,https://huggingface.co/mistralai/Magistral-Small-2509,
zai-org/GLM-4.5-Air,99,10,100,99,,92,110B,,TRUE,https://huggingface.co/zai-org/GLM-4.5-Air,
TheDrummer/Skyfall-31B-v4,87,10,94,83,,54,31B,,,https://huggingface.co/TheDrummer/Skyfall-31B-v4,
meta-llama/Llama-3.3-70B-Instruct,100,10,100,100,,97,70B,,TRUE,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,
zerofata/MS3.2-PaintedFantasy-Visage-v3-34B,79,10,80,79,,54,34B,,,https://huggingface.co/zerofata/MS3.2-PaintedFantasy-Visage-v3-34B,
ReadyArt/C4.1-Broken-Tutu-24B,67,9,90,56,,48,24B,,,https://huggingface.co/ReadyArt/C4.1-Broken-Tutu-24B,
TheDrummer/Anubis-70B-v1.1,99,10,100,98,,90,70B,,,https://huggingface.co/TheDrummer/Anubis-70B-v1.1,
FlareRebellion/WeirdCompound-v1.6-24b,91,10,98,88,,60,24B,,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.6-24b,
zerofata/MS3.2-PaintedFantasy-Visage-v4-34B,93,10,96,91,82,77,34B,,,https://huggingface.co/zerofata/MS3.2-PaintedFantasy-Visage-v4-34B,
Llama-4-Scout-17B-16E-Instruct,83,9,100,77,,39,109B,,TRUE,https://huggingface.co/Llama-4-Scout-17B-16E-Instruct,
FlareRebellion/WeirdCompound-v1.7-24b,89,10,96,85,,58,24B,,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.7-24b,
ReadyArt/4.2.0-Broken-Tutu-24b,84,10,76,94,,74,24B,,,https://huggingface.co/ReadyArt/4.2.0-Broken-Tutu-24b,
zerofata/MS3.2-PaintedFantasy-v3-24B,98,10,99,98,71,60,24B,🆕,,https://huggingface.co/zerofata/MS3.2-PaintedFantasy-v3-24B,
SicariusSicariiStuff/Sweet_Dreams_12B,67,9,85,64,,,12B,🆕,,https://huggingface.co/SicariusSicariiStuff/Sweet_Dreams_12B,
