Task,Name,Description,Language,Donated By,Origin,Bench,Harness,Metric,Task type,Subtask,Domain,Format,Num labels,Paper,Test examples,Num few shots,License
[EpecKorrefBin](https://huggingface.co/datasets/orai-nlp/basqueGLUE),EpecKorrefBin,Coreference resolution in Basque,EU,HiTZ,Original,BasqueGlue,epec_koref_bin,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2022.lrec-1.172),587,3,CC BY-NC-SA 4.0
[EsCoLA](https://huggingface.co/datasets/nbel/EsCoLA),EsCoLA,Spanish Corpus of Linguistic Acceptability,ES,"AINA, BSC, UPF",Original,SpanishBench,escola,mcc,Language Proficiency,Linguistic Acceptability,Miscellaneous,Multi choice QA,0,[📄](https://aclanthology.org/2024.lrec-main.554/),1060,2,N/A
[EusExams](https://huggingface.co/datasets/HiTZ/EusExams),EusExams,Public Service examinations questions in Basque,EU,"HiTZ, ILENIA",Original,N/A,eus_exams_eu,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2403.20266),16000,4,N/A
[EusProficiency](https://huggingface.co/datasets/HiTZ/EusProficiency),EusProficiency,C1-level proficiency questions in Basque,EU,"HiTZ, ILENIA",Original,N/A,eus_proficiency,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2403.20266),5169,4,N/A
[EusReading](https://huggingface.co/datasets/HiTZ/EusReading),EusReading,EGA exams reading comprehension in Basque,EU,"HiTZ, ILENIA",Original,N/A,eus_reading,acc,Language Proficiency,Reading Comprehension,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2403.20266),352,1,N/A
[EusTrivia](https://huggingface.co/datasets/HiTZ/EusTrivia),EusTrivia,Trivia questions in Basque,EU,"HiTZ, ILENIA",Original,N/A,eus_trivia,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2403.20266),1715,4,N/A
[Fake News ES](https://huggingface.co/datasets/mariagrandury/fake_news_corpus_spanish),Fake News ES,Fake News Detection in Spanish,ES,UNAM,Original,N/A,fake_news_es,acc,Text Classification,Fake News Detection,Miscellaneous,Multi choice QA,2,[📄](http://dx.doi.org/10.3233/JIFS-179034),572,2,N/A
[GalCoLA](https://huggingface.co/datasets/proxectonos/galcola),GalCoLA,Galician Corpus of Linguistic Acceptability,GL,"ILENIA, USC",Original,GalicianBench,galcola,mcc,Language Proficiency,Linguistic Acceptability,Miscellaneous,Multi choice QA,0,[📄](In press),1710,2,N/A
[HumorQA](https://huggingface.co/datasets/LenguajeNaturalAI/HumorQA),HumorQA,White humour joke classification ,ES,"Human Profit Consulting, LenguajeNaturalAI",MT,N/A,humorqa,acc,Text Classification,Humor Classification,Miscellaneous,Multi choice QA,4,[📄](nan),51,0,N/A
[MGSM_ca](https://huggingface.co/datasets/projecte-aina/mgsm_ca),MGSM_ca,Grade-school math problems in Catalan,CA,"BSC, ILENIA",Human translation,CatalanBench,mgsm_direct_ca,exact_match,Reasoning,Math Reasoning,Miscellaneous,Open QA,0,[📄](In press),250,2,N/A
[MGSM_es](https://huggingface.co/datasets/juletxara/mgsm),MGSM_es,Grade-school math problems in Spanish,ES,Google,Human translation,SpanishBench,mgsm_direct_es_spanish_bench,exact_match,Reasoning,Math Reasoning,Miscellaneous,Open QA,0,[📄](https://arxiv.org/abs/2210.03057),250,2,N/A
[MGSM_gl](https://huggingface.co/datasets/proxectonos/mgsm_gl),MGSM_gl,Grade-school math problems in Galician,GL,"ILENIA, USC",Reviewed MT,GalicianBench,mgsm_direct_gl,exact_match,Reasoning,Math Reasoning,Miscellaneous,Open QA,0,[📄](In press),250,2,N/A
[MGSM_eu](https://huggingface.co/datasets/HiTZ/MGSM-eu),MGSM_eu,Grade-school math problems in Basque,EU,"HiTZ, ILENIA",Human translation,BasqueBench,mgsm_native_cot_eu,exact_match,Reasoning,Math Reasoning,Miscellaneous,Open QA,0,[📄](In press),250,2,N/A
[NoticIA](https://huggingface.co/datasets/Iker/NoticIA),NoticIA,A Clickbait Article Summarization Dataset in Spanish,ES,HiTZ,Original,N/A,noticia,rouge1,Language Proficiency,Summarization,Miscellaneous,Summarization,0,[📄](https://arxiv.org/abs/2404.07611),100,0,N/A
[OffendES](https://huggingface.co/datasets/SINAI/OffendES),OffendES,Clasificación de comentarios ofensivos en español,ES,SINAI,Reviewed MT,N/A,offendes,acc,Text Classification,Hate Speech Detection,Miscellaneous,Multi choice QA,4,[📄](https://aclanthology.org/2021.ranlp-1.123.pdf),13600,2,Apache 2.0
[OpenBookQA_ca](https://huggingface.co/datasets/projecte-aina/openbookqa_ca),OpenBookQA_ca,Multi-step reasoning QA in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,openbookqa_ca,acc,Question Answering,N/A,Miscellaneous,Multi choice QA,4,[📄](In press),500,0,N/A
[OpenBookQA_es](https://huggingface.co/datasets/BSC-LT/openbookqa-es),OpenBookQA_es,Multi-step reasoning QA in Spanish,ES,"AINA, BSC",Human translation,SpanishBench,openbookqa_es,acc,Question Answering,N/A,Miscellaneous,Multi choice QA,4,[📄](nan),500,0,N/A
[OpenBookQA_gl](https://huggingface.co/datasets/proxectonos/openbookqa_gl),OpenBookQA_gl,Multi-step reasoning QA in Galician,GL,"ILENIA, USC",Reviewed MT,GalicianBench,openbookqa_gl,acc,Question Answering,N/A,Miscellaneous,Multi choice QA,4,[📄](In press),500,0,N/A
[Parafraseja](https://huggingface.co/datasets/projecte-aina/Parafraseja),Parafraseja,Paraphrase identification in Catalan,CA,ILENIA,Original,CatalanBench,parafraseja,acc,Natural Language Inference,Paraphrasing,Miscellaneous,Prompt,2,[📄](https://aclanthology.org/2024.lrec-main.231/),21984,3,N/A
[ParafrasesGL](https://huggingface.co/datasets/proxectonos/parafrases_gl),ParafrasesGL,Paraphrase identification in Galician,GL,"ILENIA, USC",Original,GalicianBench,parafrases_gl,acc,Natural Language Inference,Paraphrasing,Miscellaneous,Prompt,2,[📄](In press),294,3,N/A
[PAWS_ca](https://huggingface.co/datasets/projecte-aina/PAWS-ca),PAWS_ca,Paraphrase Adversaries from Word Scrambling in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,paws_ca,acc,Natural Language Inference,Paraphrasing,Miscellaneous,Prompt,2,[📄](https://aclanthology.org/2024.lrec-main.231),2000,3,N/A
[PAWS-X_es](https://huggingface.co/datasets/google-research-datasets/paws-x),PAWS-X_es,Paraphrase Adversaries from Word Scrambling in Spanish,ES,Google,Original,SpanishBench,paws_es_spanish_bench,acc,Natural Language Inference,Paraphrasing,Miscellaneous,Prompt,2,[📄](https://arxiv.org/abs/1908.11828),2000,3,N/A
[PAWS_gl](https://huggingface.co/datasets/proxectonos/PAWS-gl),PAWS_gl,Paraphrase Adversaries from Word Scrambling in Galician,GL,"ILENIA, USC",Reviewed MT,GalicianBench,paws_gl,acc,Natural Language Inference,Paraphrasing,Miscellaneous,Prompt,2,[📄](In press),2000,3,N/A
[PIQA_ca](https://huggingface.co/datasets/projecte-aina/piqa_ca),PIQA_ca,Physical Interaction QA in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,piqa_ca,acc,Question Answering,N/A,Miscellaneous,Multi choice QA,2,[📄](In press),1838,2,N/A
[QNLIeu](https://huggingface.co/datasets/orai-nlp/basqueGLUE),QNLIeu,Textual Entailment in Basque,EU,HiTZ,Original,BasqueGlue,qnlieu,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,"Multi choice QA, Prompt",2,[📄](https://aclanthology.org/2022.lrec-1.172),238,2,CC BY-SA 4.0
[RagQuAS](https://huggingface.co/datasets/IIC/RagQuAS),RagQuAS,Retrieval-Augmented-Generation and Question-Answering in Spanish,ES,IIC,Original,N/A,ragquas,sas_encoder,Question Answering,"Abstractive QA, Long Form QA",Miscellaneous,Question with context,0,[📄](nan),201,1,N/A
[SIQA_ca](https://huggingface.co/datasets/projecte-aina/siqa_ca),SIQA_ca,Social Interaction QA in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,siqa_ca,acc,Question Answering,N/A,Miscellaneous,Multi choice QA,3,[📄](In press),1954,2,N/A
[SpaLawEx](https://huggingface.co/datasets/LenguajeNaturalAI/examenes_abogacia),SpaLawEx,Spanish Law School Access Exams,ES,LenguajeNaturalAI,Original,N/A,spalawex,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,4,[📄](nan),119,0,N/A
[SummarizationGL](https://huggingface.co/datasets/proxectonos/summarization_gl),SummarizationGL,Abstractive Summarization in Galician,GL,"ILENIA, USC",Original,GalicianBench,summarization_gl,bleu,Language Proficiency,Summarization,Miscellaneous,Summarization,1,[📄](In press),8080,1,N/A
[TE-ca](https://huggingface.co/datasets/projecte-aina/teca),TE-ca,Textual Entailment in Catalan,CA,"AINA, BSC",Original,CatalanBench,teca,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,3,[📄](https://aclanthology.org/2024.lrec-main.231/),2117,3,N/A
[TELEIA](https://huggingface.co/datasets/gonzmart/teleia),TELEIA,Test de Español como Lengua Extranjera para Inteligencia Artificial,ES,UPM,Original,N/A,teleia,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,3,[📄](nan),120,2,N/A
[VaxxStance](https://huggingface.co/datasets/orai-nlp/basqueGLUE),VaxxStance,Stance detection on the Antivaxxers movement,EU,HiTZ,Original,BasqueGlue,vaxx_stance,f1,Text Classification,"Sentiment Analysis, Stance Detection",Miscellaneous,Multi choice QA,3,[📄](https://aclanthology.org/2022.lrec-1.172),312,3,Twitter's license + CC BY 4.0
[WiCeu](https://huggingface.co/datasets/orai-nlp/basqueGLUE),WiCeu,Word sense disambiguation in Basque,EU,HiTZ,Original,BasqueGlue,wiceu,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2022.lrec-1.172),1400,2,CC BY-NC-SA 4.0
[WNLI_ca](https://huggingface.co/datasets/projecte-aina/wnli-ca),WNLI_ca,Winograd-schema-type dataset in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,wnli_ca,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2024.lrec-main.231),146,2,N/A
[WNLI ES](huggingface.co/datasets/PlanTL-GOB-ES/wnli-es),WNLI ES,Winograd-schema-type dataset in Spanish,ES,ILENIA,Human translation,SpanishBench,wnli_es,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,2,[📄](nan),147,2,CC BY 4.0
[WNLI_eu](https://huggingface.co/datasets/HiTZ/wnli-eu),WNLI_eu,Winograd-schema-type dataset in Basque,EU,"HiTZ, ILENIA",Human translation,BasqueBench,wnli_eu,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,2,[📄](In press),146,2,N/A
[XCOPA_eu](https://huggingface.co/datasets/HiTZ/XCOPA-eu),XCOPA_eu,Choice Of Plausible Alternatives in Basque,EU,"HiTZ, ILENIA",Human translation,BasqueBench,xcopa_eu,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](In press),500,3,N/A
[XL-Sum_es](https://huggingface.co/datasets/csebuetnlp/xlsum),XL-Sum_es,Abstractive Summarization in Spanish,ES,Open source,Original,SpanishBench,xlsum_es,bleu,Language Proficiency,Summarization,Miscellaneous,Summarization,1,[📄](https://aclanthology.org/2021.findings-acl.413/),4763,1,N/A
[XNLI_ca](https://huggingface.co/datasets/projecte-aina/xnli-ca),XNLI_ca,Cross-lingual Natural Language Inference in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,xnli_ca,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Prompt,3,[📄](https://aclanthology.org/2024.lrec-main.231),5010,3,N/A
[XNLI_es](https://huggingface.co/datasets/facebook/xnli),XNLI_es,Cross-lingual Natural Language Inference in Spanish,ES,Meta,Original,SpanishBench,xnli_es_spanish_bench,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Multi choice QA,3,[📄](nan),5010,3,N/A
[XNLI_eu](https://huggingface.co/datasets/HiTZ/xnli-eu),XNLI_eu,Cross-lingual Natural Language Inference in Basque,EU,"HiTZ, ILENIA",Reviewed MT,BasqueBench,xnli_eu_native,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Prompt,3,[📄](https://arxiv.org/abs/2404.06996),5010,3,N/A
[XNLI_gl](https://huggingface.co/datasets/proxectonos/xnli_gl),XNLI_gl,Cross-lingual Natural Language Inference in Galician,GL,"ILENIA, USC",Reviewed MT,GalicianBench,xnli_gl,acc,Natural Language Inference,Natural Language Inference,Miscellaneous,Prompt,3,[📄](nan),5010,3,N/A
[XQuAD_ca](https://huggingface.co/datasets/projecte-aina/xquad-ca),XQuAD_ca,Cross-lingual Question Answering Dataset in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,xquad_ca,f1,Question Answering,Extractive QA,Miscellaneous,Question with context,0,[📄](https://aclanthology.org/2024.lrec-main.231),1190,2,N/A
[XQuAD_es](https://huggingface.co/datasets/google/xquad),XQuAD_es,Cross-lingual Question Answering Dataset in Spanish,ES,"Google, HiTZ",Original,SpanishBench,xquad_es,f1,Question Answering,Extractive QA,Miscellaneous,Question with context,0,[📄](https://aclanthology.org/2020.acl-main.421/),1190,2,N/A
[xStoryCloze_ca](https://huggingface.co/datasets/projecte-aina/xstorycloze_ca),xStoryCloze_ca,Narrative completion in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,xstorycloze_ca,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](In press),1510,0,N/A
[xStoryCloze_es](https://huggingface.co/datasets/juletxara/xstory_cloze),xStoryCloze_es,Narrative completion in Spanish,ES,Meta,Human translation,SpanishBench,xstorycloze_es,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2022.emnlp-main.616/),1510,0,N/A
[xStoryCloze_eu](https://huggingface.co/datasets/juletxara/xstory_cloze),xStoryCloze_eu,Narrative completion in Basque,EU,Meta,Human translation,BasqueBench,xstorycloze_eu,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2022.emnlp-main.616/),1510,0,N/A
[xStoryCloze_gl](https://huggingface.co/datasets/proxectonos/xstorycloze_gl),xStoryCloze_gl,Narrative completion in Galician,GL,"ILENIA, USC",Human translation,GalicianBench,xstorycloze_gl,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](nan),1510,0,N/A
