Model,Quantization,Params (B),Model Size (GB),Prefill (tokens/s),Decode (tokens/s),Backend,MMLU Accuracy
OLMoE-1B-7B-0924,Q4_K_M,6.919,4.212,26.902,12.119,llama_cpp,38.3
OLMo-7B-0724-hf,Q4_K_M,6.888,4.183,4.706,2.339,llama_cpp,36.2
dolphin-2.9.3-mistral-7B-32k,Q4_0_4_4,7.248,4.113,14.053,2.427,llama_cpp,40.3
Mistral-7B-Instruct-v0.3,Q4_0_4_4,7.248,4.113,14.177,2.43,llama_cpp,42.9
Starling-LM-7B-beta,Q4_0_4_4,7.242,4.108,14.068,2.427,llama_cpp,41.3
Yarn-Mistral-7b-128k,Q4_0_4_4,7.242,4.108,14.139,2.436,llama_cpp,40.3
Amber,Q4_K_M,6.738,4.08,4.594,2.351,llama_cpp,32.7
Phi-3.5-mini-instruct,Q8_0,3.821,4.06,7.951,2.423,llama_cpp,41.8
Phi-3-mini-128k-instruct,Q8_0,3.821,4.06,7.947,2.426,llama_cpp,41.4
mpt-7b-instruct,Q4_0_4_4,6.856,3.964,14.569,2.533,llama_cpp,34.9
OLMoE-1B-7B-0924,Q4_0_4_4,6.919,3.926,50.413,12.989,llama_cpp,38.0
Llama-3.2-3B,Q8_0,3.607,3.833,10.31,2.83,llama_cpp,37.5
Amber,Q4_0_4_4,6.738,3.825,14.442,2.57,llama_cpp,33.1
Yi-1.5-6B,Q4_K_M,6.061,3.672,5.58,2.72,llama_cpp,39.3
Qwen2.5-3B,Q8_0,3.397,3.61,10.473,2.939,llama_cpp,38.6
Yi-1.5-6B,Q4_0_4_4,6.061,3.478,17.017,2.945,llama_cpp,39.2
dolphin-2.9.4-gemma2-2b,Q8_0,3.204,3.405,13.966,3.381,llama_cpp,37.2
gemma-2-2b,Q8_0,3.204,3.405,13.996,3.385,llama_cpp,37.3
stable-code-instruct-3b,Q8_0,2.795,2.971,10.668,3.316,llama_cpp,29.9
Phi-3.5-mini-instruct,Q4_K_M,3.821,2.393,7.502,3.936,llama_cpp,41.1
Phi-3-mini-128k-instruct,Q4_K_M,3.821,2.393,7.519,3.938,llama_cpp,40.9
Llama-3.2-3B,Q4_K_M,3.607,2.335,10.691,4.674,llama_cpp,37.3
Llama-3.2-3B,Q4_0_4_4,3.607,2.233,31.72,5.025,llama_cpp,36.8
gemma-2-2b,Q4_K_M,3.204,2.186,14.202,5.253,llama_cpp,37.0
dolphin-2.9.4-gemma2-2b,Q4_K_M,3.204,2.186,14.218,5.253,llama_cpp,37.3
Qwen2.5-3B,Q4_K_M,3.397,2.179,10.638,4.808,llama_cpp,38.2
Phi-3.5-mini-instruct,Q4_0_4_4,3.821,2.175,23.369,4.428,llama_cpp,41.4
Phi-3-mini-128k-instruct,Q4_0_4_4,3.821,2.175,23.461,4.436,llama_cpp,40.6
gemma-2-2b,Q4_0_4_4,3.204,2.107,40.616,5.552,llama_cpp,37.4
dolphin-2.9.4-gemma2-2b,Q4_0_4_4,3.204,2.107,40.977,5.58,llama_cpp,37.1
Qwen2.5-3B,Q4_0_4_4,3.397,2.072,32.434,5.239,llama_cpp,37.9
internlm2_5-1_8b-chat,Q8_0,1.889,2.007,19.329,5.279,llama_cpp,34.0
SmolLM2-1.7B-Instruct,Q8_0,1.812,1.926,17.524,5.177,llama_cpp,36.0
Qwen2.5-1.5B,Q8_0,1.777,1.889,21.927,5.793,llama_cpp,35.8
stable-code-instruct-3b,Q4_K_M,2.795,1.707,10.803,5.564,llama_cpp,29.8
stable-code-instruct-3b,Q4_0_4_4,2.795,1.607,28.926,5.957,llama_cpp,29.8
Llama-3.2-1B,Q8_0,1.498,1.592,29.722,7.295,llama_cpp,34.0
Yi-Coder-1.5B,Q8_0,1.476,1.569,23.894,6.596,llama_cpp,29.3
OLMo-1B-0724-hf,Q8_0,1.28,1.36,27.787,7.591,llama_cpp,31.7
Qwen2.5-1.5B,Q4_K_M,1.777,1.172,22.326,9.56,llama_cpp,35.8
internlm2_5-1_8b-chat,Q4_K_M,1.889,1.17,19.453,8.56,llama_cpp,33.7
TinyLlama-1.1B-Chat-v1.0,Q8_0,1.1,1.169,28.472,8.637,llama_cpp,30.9
TinyLlama_v1.1,Q8_0,1.1,1.169,28.538,8.652,llama_cpp,28.2
SmolLM2-1.7B-Instruct,Q4_K_M,1.812,1.136,17.72,8.497,llama_cpp,35.4
Qwen2.5-1.5B,Q4_0_4_4,1.777,1.12,65.915,10.128,llama_cpp,35.1
internlm2_5-1_8b-chat,Q4_0_4_4,1.889,1.112,57.736,9.243,llama_cpp,32.2
SmolLM2-1.7B-Instruct,Q4_0_4_4,1.812,1.072,50.27,9.239,llama_cpp,35.1
Llama-3.2-1B,Q4_K_M,1.498,1.015,30.451,11.51,llama_cpp,33.5
Llama-3.2-1B,Q4_0_4_4,1.498,0.979,86.772,12.364,llama_cpp,33.4
Yi-Coder-1.5B,Q4_K_M,1.476,0.962,23.267,10.03,llama_cpp,29.4
Yi-Coder-1.5B,Q4_0_4_4,1.476,0.865,67.713,11.422,llama_cpp,29.2
OLMo-1B-0724-hf,Q4_K_M,1.28,0.79,28.276,12.321,llama_cpp,31.9
OLMo-1B-0724-hf,Q4_0_4_4,1.28,0.746,84.882,13.339,llama_cpp,31.5
Qwen2.5-0.5B,Q8_0,0.63,0.67,75.456,18.06,llama_cpp,31.9
TinyLlama-1.1B-Chat-v1.0,Q4_K_M,1.1,0.667,29.44,14.305,llama_cpp,30.7
TinyLlama_v1.1,Q4_K_M,1.1,0.667,29.397,14.346,llama_cpp,28.0
TinyLlama-1.1B-Chat-v1.0,Q4_0_4_4,1.1,0.636,77.823,15.509,llama_cpp,30.9
TinyLlama_v1.1,Q4_0_4_4,1.1,0.636,77.943,15.543,llama_cpp,28.3
Qwen2.5-0.5B,Q4_K_M,0.63,0.537,52.916,22.324,llama_cpp,31.4
Qwen2.5-0.5B,Q4_0_4_4,0.63,0.491,189.874,26.738,llama_cpp,31.3
gpt2-medium,Q8_0,0.406,0.436,83.423,23.016,llama_cpp,29.0
SmolLM2-360M-Instruct,Q8_0,0.409,0.435,79.518,22.857,llama_cpp,32.3
SmolLM2-360M-Instruct,Q4_K_M,0.409,0.319,55.774,30.718,llama_cpp,31.9
SmolLM2-360M-Instruct,Q4_0_4_4,0.409,0.277,173.275,37.176,llama_cpp,32.0
gpt2-medium,Q4_K_M,0.406,0.269,73.615,33.913,llama_cpp,28.8
gpt2-medium,Q4_0_4_4,0.406,0.247,178.73,37.89,llama_cpp,28.8
gpt2,Q8_0,0.163,0.176,302.932,68.191,llama_cpp,27.2
SmolLM2-135M-Instruct,Q8_0,0.163,0.173,212.146,57.992,llama_cpp,29.9
SmolLM2-135M-Instruct,Q4_K_M,0.163,0.134,153.439,73.272,llama_cpp,29.5
SmolLM2-135M-Instruct,Q4_0_4_4,0.163,0.12,381.667,86.735,llama_cpp,29.8
gpt2,Q4_K_M,0.163,0.111,269.906,92.707,llama_cpp,27.6
gpt2,Q4_0_4_4,0.163,0.105,582.32,101.509,llama_cpp,27.9
