rating,variance,rating_q975,rating_q025,num_battles,final_ranking,key,Model,License,Organization,Knowledge cutoff date,Link,MT-bench (score),MMLU
1020.7781976589234,1241.4480538764974,1045.1491832970908,913.2792086136737,478,1,YandexGPT 3 Pro,YandexGPT 3 Pro,Proprietary,Yandex,In training,https://ya.ru/ai/gpt-3,65.2,45.2
979.1016833538558,1227.9057184379915,1004.9739078756248,871.2268457332833,592,2,gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,Proprietary,OpenAI,09-2021,https://openai.com/api/,65.2,45.2
947.1974850841607,1275.1879081556872,973.8868901376999,838.7333160381975,372,4,T-lite-instruct-0.1,T-lite-instruct-0.1,Open Source,t-bank-ai,In training,https://huggingface.co/AnatoliiPotapov/T-lite-instruct-0.1,-,-
932.3414984331068,1186.8528437389484,952.9114084922326,823.9194558753339,728,7,saiga_llama3_8b_v7,saiga_llama3_8b_v7,Open Source,Ilya Gusev,In training,https://huggingface.co/IlyaGusev/saiga_llama3_8b,-,-
993.3717309470745,1153.4480847064751,1012.6095760433378,885.4226198248776,740,1,GigaChat-Pro 4.0.26.8,GigaChat-Pro 4.0.26.8,Proprietary,Sber,In training,https://developers.sber.ru/portal/products/gigachat,-,-
1039.5729042528817,1218.87234324006,1062.8321471985744,926.6228425875917,488,1,saiga_phi3_medium,saiga_phi3_medium,Open Source,Ilya Gusev,In training,https://huggingface.co/IlyaGusev/saiga_phi3_medium_sft_m1_d2_kto_m5_d7,-,-
993.2468606050761,1180.5507491178575,1012.9642504117858,884.6140154936015,791,1,LLaMA-3 Chat (8B),LLaMA-3 Chat (8B),Proprietary,Meta,03-2023,https://llama.meta.com/llama3/,-,-
1074.2023896278488,1134.305469980829,1094.514886992407,969.4351042979471,886,1,Llama 3.1 8B Instruct Turbo,Llama 3.1 8B Instruct Turbo,Proprietary,Meta,-,https://ai.meta.com/blog/meta-llama-3-1/,-,-
1090.8592801570258,1140.3396239214605,1109.5820557811471,984.6181128879861,930,1,Vikhrmodels/it-5.2-fp16-cp,Vikhrmodels/it-5.2-fp16-cp,Open Source,Vikhrmodels,In training,https://huggingface.co/Vikhrmodels/it-5.2-fp16-cp,-,-
1117.0189539475066,1170.6680998872027,1136.6808066769574,1010.1171845107525,908,1,GigaChat-Pro 2.2.25.3,GigaChat-Pro 2.2.25.3,Proprietary,Sber,In training,https://developers.sber.ru/portal/products/gigachat,-,-
1080.0632142443226,1250.7374533620869,1101.998696996777,969.5413704610022,664,1,GigaChat 4.0.26.8,GigaChat 4.0.26.8,Proprietary,Sber,In training,https://developers.sber.ru/portal/products/gigachat,-,-
1023.5502336779675,1233.5530647127014,1046.6585304493597,911.4432496338418,543,1,YandexGPT 3 Lite,YandexGPT 3 Lite,Proprietary,Yandex,In training,https://ya.ru/ai/gpt-3,45.2,35.2
930.8355157487584,1299.5274174541444,959.0654811276472,817.9483047283851,257,7,saiga_llama3_8b_v6,saiga_llama3_8b_v6,Open Source,Ilya Gusev,In training,https://huggingface.co/IlyaGusev/saiga_llama3_8b,-,-
970.60130272153,1303.4941408237394,996.4235752732167,857.2591240188583,446,3,GigaChat 3.1.25.3,GigaChat 3.1.25.3,Proprietary,Sber,In training,https://developers.sber.ru/portal/products/gigachat,-,-
960.1369134796026,1215.3897603683151,981.8076801143751,850.9384856108709,496,4,GigaChat-Plus 3.1.25.3,GigaChat-Plus 3.1.25.3,Proprietary,Sber,In training,https://developers.sber.ru/portal/products/gigachat,-,-
