id,class
52814,low
231810,medium
333806,medium
230961,medium
257597,medium
59098,medium
486844,low
153276,low
355941,medium
127684,low
494223,medium
432481,medium
455862,low
386214,medium
440572,medium
146471,low
471072,medium
305075,medium
477952,medium
84803,low
299096,low
329850,low
528,medium
76433,medium
276607,medium
99654,medium
117049,medium
178654,medium
451290,medium
219732,low
513327,medium
197604,medium
37957,low
498977,medium
336401,low
5506,medium
191539,medium
408996,low
195040,low
153058,high
334539,medium
454254,medium
367134,low
433845,medium
383845,low
436120,medium
386959,medium
320483,medium
426718,medium
172920,medium
89479,medium
327256,medium
307225,low
239876,medium
328197,medium
455833,low
383587,medium
393249,medium
78403,medium
298856,medium
295309,low
338329,medium
142576,low
198566,low
243350,medium
513659,medium
288754,medium
315282,medium
336023,medium
404016,medium
310825,medium
26739,medium
98744,medium
219179,medium
157055,low
19624,low
290047,medium
179482,low
462654,low
305533,medium
171284,low
216523,medium
392600,high
346348,low
430001,low
63263,medium
360111,medium
460419,medium
141930,medium
83873,low
59555,medium
350591,medium
227771,low
124049,medium
168211,medium
64409,medium
75084,low
249229,low
399759,low
360321,low
300050,low
99828,low
295477,medium
75096,medium
513649,medium
12861,medium
224067,medium
397038,medium
20617,medium
202373,low
506876,low
474975,medium
436518,medium
39264,medium
72668,medium
270962,low
160501,medium
43352,low
13554,low
240735,medium
283680,low
411069,medium
109515,medium
279743,medium
115884,medium
29945,medium
259632,medium
231654,low
436114,medium
385040,medium
255332,medium
479394,low
257832,medium
484115,medium
238816,medium
415727,medium
218691,medium
437591,low
442802,low
374578,medium
434365,medium
366075,medium
155970,low
51606,medium
225876,high
408957,medium
49904,low
263864,low
512619,medium
458643,low
149032,medium
487488,high
16759,medium
202713,low
369454,medium
452794,medium
136494,medium
497844,medium
158193,medium
57903,low
371263,medium
379076,medium
81473,low
303795,medium
336292,medium
28513,medium
100685,medium
488238,low
164352,low
355190,medium
190407,medium
6705,medium
122411,medium
411789,medium
131800,low
194436,medium
8126,medium
17823,low
2690,medium
207632,low
214403,low
129877,medium
491952,medium
32358,medium
306746,medium
86127,medium
504232,medium
374878,medium
392013,medium
314540,low
444562,low
458855,medium
443220,medium
485973,low
386443,medium
272539,medium
23512,medium
102435,medium
414324,low
76271,medium
86099,low
181753,medium
276604,low
150551,medium
385427,medium
35442,low
92729,medium
277101,low
307081,low
323546,medium
225273,medium
376046,medium
278755,low
407226,low
440442,medium
399004,medium
35200,low
178518,medium
232989,medium
327962,medium
110939,high
115843,medium
209638,low
119037,medium
337033,low
348788,low
450458,low
378527,medium
316139,medium
184940,medium
74445,medium
3054,medium
183384,medium
466946,medium
200215,low
157401,medium
319253,low
399566,medium
28925,low
455604,medium
423118,medium
94724,medium
198115,medium
484868,low
231772,medium
79032,medium
264980,medium
134494,medium
45895,medium
290104,low
201994,low
44380,medium
124475,low
333157,low
501613,medium
276288,medium
295076,medium
403326,medium
355080,low
232837,medium
98051,medium
58176,medium
117520,low
406593,low
62547,medium
449655,medium
311647,medium
193217,medium
102457,medium
429757,medium
347543,medium
172731,medium
198986,low
333222,medium
198843,medium
500708,medium
474988,low
116280,low
325143,low
445510,medium
50509,medium
235924,low
102384,medium
513019,medium
489061,medium
290004,medium
42151,low
435983,low
246044,medium
21284,medium
34265,medium
472407,medium
434233,low
65094,medium
166105,medium
398480,low
126125,medium
435851,low
24830,low
56604,medium
238665,medium
302625,medium
496255,medium
246110,medium
84462,medium
48970,low
334878,medium
218236,low
222365,medium
282074,low
93748,medium
330669,medium
175584,low
14486,medium
93851,medium
86998,medium
372230,low
112922,low
352476,low
424743,medium
84156,low
47033,medium
175903,medium
213985,low
511487,medium
444603,medium
100418,low
493653,medium
135521,medium
179866,medium
47450,medium
343020,medium
132234,medium
256575,low
418091,medium
206693,medium
107579,medium
127077,medium
127470,low
271520,low
262234,medium
177051,low
510060,medium
86354,medium
267382,medium
92883,medium
420537,medium
64730,medium
240833,low
54875,medium
256981,low
510517,medium
77705,low
224569,medium
317215,medium
509842,medium
251372,low
221712,low
132683,low
273236,medium
338905,medium
237094,medium
85781,medium
400524,medium
506131,low
224197,low
293820,medium
34150,medium
151024,medium
406794,medium
74288,medium
231565,low
399981,medium
503047,medium
393302,low
194463,medium
429825,medium
133814,low
245694,medium
403657,low
407046,low
486667,low
476960,medium
262220,medium
235825,medium
214151,medium
152348,medium
428303,medium
350017,medium
136217,medium
104182,medium
37898,low
72864,medium
380269,medium
103617,medium
54403,medium
363417,medium
419704,medium
502188,low
422485,medium
136613,medium
511412,low
491970,medium
335946,low
230385,medium
305522,low
487788,low
426946,low
194483,medium
40689,medium
115287,medium
140737,medium
515428,medium
393364,low
306352,medium
68298,medium
255946,medium
104401,medium
410295,medium
464934,medium
383424,medium
293205,medium
62694,medium
156599,low
229059,medium
327848,low
96970,low
85578,low
399466,low
388886,medium
315478,medium
456516,medium
241261,medium
468761,low
72154,medium
175424,medium
249680,low
502906,low
41414,medium
118839,medium
264908,medium
155986,medium
367481,high
36780,medium
94973,low
113131,medium
21490,medium
333762,medium
102199,low
50286,low
112045,medium
199526,low
79631,medium
459056,medium
390941,medium
30771,medium
109087,low
335916,medium
313854,medium
77325,low
480646,low
356864,low
192840,medium
101725,medium
202275,medium
320901,medium
308025,medium
182528,medium
64061,medium
182253,medium
64441,low
369133,low
460918,medium
354447,medium
71954,low
125655,medium
436781,low
60845,low
234683,medium
385295,medium
414659,low
152223,medium
480622,medium
473378,medium
212937,medium
241447,medium
368249,medium
102,medium
35942,medium
434710,medium
16617,medium
240924,low
87381,medium
83989,medium
211471,medium
255730,low
90360,low
165743,low
516907,medium
278921,medium
398876,medium
457428,medium
288230,medium
159483,medium
199963,medium
152357,medium
492433,medium
106965,low
278454,medium
49667,medium
512472,medium
465839,low
248655,medium
156749,medium
481834,low
44839,medium
227610,medium
26995,medium
391514,medium
133974,medium
99267,medium
435609,medium
375316,medium
375681,medium
501341,medium
147819,low
490684,low
503413,medium
461297,medium
157211,medium
72294,medium
156987,medium
516381,medium
135865,medium
178934,low
489045,medium
1322,medium
399927,medium
66681,medium
245850,medium
34425,low
126829,low
57269,medium
270740,low
73835,medium
73724,low
389429,low
429476,medium
451082,medium
54328,medium
254418,medium
433244,medium
179246,medium
73448,low
473042,low
189546,low
88446,medium
161707,low
411134,medium
239972,medium
292787,low
128955,medium
302136,low
30309,medium
267642,low
22305,medium
399522,low
314749,low
184091,low
80118,low
20691,medium
436345,low
92682,medium
103571,low
76450,medium
15722,low
234827,medium
70650,medium
60919,medium
336805,medium
143919,medium
220616,medium
44037,low
372748,medium
391759,medium
369490,medium
31281,low
267624,medium
432339,medium
381321,medium
60923,low
372455,low
93711,medium
386606,medium
141129,medium
335321,medium
96675,medium
333421,medium
129206,medium
423287,low
253277,medium
429493,medium
419850,low
31038,medium
196673,medium
55002,medium
121022,medium
482986,medium
349956,medium
399274,medium
237736,medium
173961,medium
141247,medium
179827,medium
267933,low
258101,medium
43101,medium
407905,medium
45488,low
210395,medium
496657,medium
162169,medium
91919,medium
411204,low
295697,medium
191846,medium
198342,medium
492228,medium
303520,low
279879,medium
427659,low
142972,medium
488975,low
161126,low
189424,low
405717,low
432691,medium
181199,medium
306845,medium
199004,medium
455247,medium
348101,medium
2680,low
412663,medium
462322,medium
295958,medium
174468,medium
409093,medium
192667,medium
418407,medium
400060,medium
146348,medium
480847,medium
514074,high
360394,low
185141,medium
362144,medium
19603,medium
149246,low
355030,low
276282,medium
393058,medium
169752,medium
173969,low
344065,low
492090,medium
68783,medium
481652,medium
274217,low
115105,low
104901,medium
271174,high
499420,medium
40064,medium
53429,low
179969,high
162578,medium
420922,medium
169294,medium
425835,medium
444172,low
418801,low
234809,low
216658,medium
123,low
89945,medium
495254,low
99511,low
280734,medium
46723,medium
444359,medium
135604,low
504356,medium
374948,medium
51845,low
514801,medium
378351,low
330738,low
294933,low
12218,medium
361920,medium
46914,low
408733,low
247133,medium
70549,low
171425,low
189130,low
35664,medium
282963,medium
350027,low
65523,medium
448043,low
47751,low
238805,medium
449240,medium
259376,low
60669,medium
494558,medium
223519,medium
432479,medium
440367,high
195998,medium
5969,medium
215105,medium
219053,low
53874,low
249118,medium
143912,low
178439,medium
107332,medium
73191,medium
190145,medium
5343,medium
432367,medium
306314,medium
499503,low
209694,medium
144634,low
200239,medium
324123,medium
330055,high
120944,medium
276423,high
368929,medium
33752,low
344974,medium
12995,low
187831,medium
44823,low
122100,medium
412527,medium
407293,medium
298427,medium
73888,medium
20945,low
180039,medium
472151,medium
248948,medium
349088,medium
454817,low
207754,medium
487903,low
209424,low
242573,low
488978,medium
254878,medium
190873,low
293822,low
496996,medium
433052,low
139923,medium
79491,high
24373,medium
70135,medium
340551,medium
40473,low
502441,low
459563,low
419729,medium
74331,low
21276,low
206517,medium
169873,low
300715,medium
351842,low
304327,medium
120831,medium
72674,medium
50823,low
303548,low
351200,medium
29112,medium
307456,medium
433815,medium
22758,medium
157240,medium
240880,medium
51512,medium
104614,low
61650,medium
172497,medium
22899,low
120896,medium
277484,medium
348254,medium
249523,medium
359392,medium
465979,medium
70600,medium
120225,medium
456363,medium
517062,medium
500003,medium
133718,medium
517169,low
421214,medium
162800,medium
220008,medium
292546,medium
511258,medium
492015,medium
90295,medium
450654,low
130315,low
280056,low
394465,medium
268010,medium
393285,medium
459274,medium
120499,low
463918,medium
86667,low
448687,low
186661,medium
159387,low
402994,low
113380,medium
283109,medium
108349,medium
315121,medium
271132,medium
273627,medium
81613,high
241477,low
240472,medium
19367,medium
454250,medium
348012,low
211708,medium
267,medium
371645,medium
47553,low
442394,medium
37866,medium
457904,medium
238031,medium
113987,low
361241,medium
285536,medium
155878,low
185347,medium
470261,medium
459625,low
268657,medium
293609,medium
352459,low
337014,medium
12663,medium
479984,low
394523,medium
506016,medium
350897,medium
333835,medium
170319,medium
30477,medium
120438,medium
157358,medium
37589,low
174486,high
13557,medium
39036,low
297701,medium
105551,medium
56261,high
222845,low
132767,low
81612,medium
364871,medium
491991,medium
486727,medium
363282,medium
358770,medium
215651,medium
420015,low
53477,medium
262409,low
360837,low
391074,medium
157290,medium
227340,medium
180033,medium
332356,medium
364960,medium
28235,medium
340233,medium
391322,medium
302798,low
512580,low
351151,medium
222938,low
226797,medium
109648,medium
202951,low
480244,medium
440259,medium
102058,low
337172,medium
492771,medium
310200,medium
332,medium
467946,low
335374,medium
194014,medium
418718,medium
271888,medium
455945,medium
207010,medium
231675,medium
55166,medium
329372,medium
392290,medium
437132,medium
165251,medium
55499,low
129072,medium
40273,low
162621,medium
59107,medium
125285,medium
167014,low
1358,medium
227722,low
305467,low
84009,medium
235401,medium
118541,medium
263093,low
167751,medium
138734,low
450044,medium
14618,medium
165488,medium
338941,medium
124286,low
11257,low
322508,medium
505089,medium
104023,medium
491916,medium
496031,medium
83303,medium
57746,medium
14592,low
366038,high
41067,low
448775,medium
87086,low
20280,low
168765,medium
186324,low
176862,medium
205417,medium
30973,high
260854,medium
499726,low
170853,medium
370291,medium
507310,low
341250,low
201674,medium
458597,medium
325066,medium
44081,medium
10488,medium
384014,medium
444978,medium
355340,medium
258545,medium
187149,medium
378043,medium
150132,medium
156201,low
440569,low
282551,medium
226722,medium
136625,medium
344882,medium
88559,medium
158584,medium
37887,medium
375447,low
396788,medium
510704,medium
475885,low
276454,low
386768,medium
405020,medium
87719,low
456358,low
323883,medium
387018,low
281231,medium
117997,medium
113925,medium
199029,low
394920,low
474569,medium
50630,medium
446280,medium
30068,medium
35437,low
343551,medium
393994,medium
12141,low
117449,medium
358984,medium
170367,medium
5361,medium
308361,low
319921,medium
118438,low
432419,medium
220862,medium
161449,low
215319,medium
200631,medium
506566,low
347267,medium
209068,medium
180944,low
175898,medium
168758,medium
492374,medium
66494,low
68630,medium
492899,medium
304589,medium
150907,low
123230,low
492657,medium
182164,medium
432633,medium
258158,medium
158232,low
291147,medium
358406,medium
230558,medium
106196,medium
360793,medium
166738,medium
494584,medium
333926,medium
155589,medium
67164,medium
247442,medium
133564,medium
303741,medium
1567,medium
178496,medium
184197,low
237506,medium
50146,medium
277970,medium
94959,low
460893,medium
261957,medium
265255,medium
513621,low
517359,medium
498059,low
405606,medium
32542,low
311535,medium
312290,low
112323,medium
40666,low
108246,medium
33903,medium
374738,low
357840,medium
174345,medium
98467,high
187260,medium
510072,medium
375583,medium
456108,medium
408215,low
387017,medium
23994,medium
232180,high
46065,medium
27665,medium
178802,low
144611,medium
58778,medium
49210,medium
468186,medium
156544,low
326391,medium
216326,low
344097,medium
325216,medium
269123,low
354314,low
252012,high
175357,medium
106551,medium
68726,medium
481403,medium
129094,medium
92845,medium
206845,medium
240716,low
112515,medium
159573,high
362361,medium
272511,medium
213301,medium
138532,low
239839,medium
2940,medium
111267,low
422028,medium
276678,medium
17205,medium
46486,low
205633,medium
499941,medium
35651,medium
127673,low
102406,low
317696,medium
511122,medium
236038,medium
221878,low
494708,low
36015,medium
289384,low
477830,low
36037,medium
211355,medium
355248,medium
105145,medium
429690,medium
354609,medium
481169,low
359202,low
426787,medium
134279,medium
488170,medium
91109,medium
365741,medium
201529,low
329257,medium
261679,medium
109960,low
378258,low
324801,medium
364309,medium
12640,medium
255999,medium
77746,medium
171818,medium
154142,low
504997,medium
189365,medium
157594,low
484272,low
335936,low
224915,low
115786,medium
171145,medium
218907,medium
468896,medium
433940,medium
58585,low
224531,medium
454981,medium
106205,medium
434841,low
23417,medium
485088,low
341477,low
345382,medium
171380,medium
210513,medium
344839,low
60518,medium
295409,medium
138613,medium
309253,medium
217958,medium
7605,low
159993,medium
256633,medium
226048,low
57405,medium
499669,low
490218,medium
377087,low
117289,medium
222409,low
409907,medium
423450,medium
169562,medium
314880,medium
328716,low
366605,medium
392993,low
132438,high
114782,low
331618,medium
262710,medium
300418,medium
181698,low
99068,low
37173,medium
22198,medium
443314,high
93533,medium
338206,low
127607,low
32100,medium
134461,low
463222,low
110703,medium
379620,medium
202486,low
326272,medium
364527,medium
219562,medium
332006,medium
364399,medium
223863,medium
119207,medium
20492,medium
440443,medium
87733,medium
433372,medium
327086,medium
507185,medium
458519,medium
508132,low
3125,low
374230,medium
484037,low
59503,low
80822,medium
230139,low
106511,medium
466714,medium
150113,medium
490476,medium
36864,medium
221762,medium
290300,low
147041,medium
331573,low
152612,low
348139,medium
437784,medium
391464,low
125808,medium
388521,low
149589,low
313744,medium
434223,medium
102707,medium
505580,medium
262741,medium
1090,medium
256426,low
158076,medium
215157,medium
66684,low
132692,medium
505875,medium
283995,low
184411,medium
440020,medium
323112,medium
517554,low
365591,medium
224152,medium
100867,medium
324104,medium
109421,medium
247770,low
263976,medium
486411,medium
468957,medium
482989,low
256469,medium
289913,medium
381220,low
397667,medium
507043,low
23770,medium
464209,medium
60418,medium
87037,low
2938,medium
383527,medium
417471,low
110432,medium
117932,medium
99238,medium
348467,low
36786,medium
450777,medium
447906,medium
351415,medium
78159,medium
335154,medium
388254,medium
486653,medium
85390,low
120503,low
265238,medium
15584,low
455720,medium
4402,low
252891,medium
219545,low
142345,low
344728,low
92728,medium
109083,low
424863,medium
73344,low
16234,medium
508534,medium
477440,medium
446548,medium
125254,low
92968,medium
269321,medium
397554,medium
91499,low
312676,medium
59121,medium
320074,low
176635,medium
500134,low
389324,medium
425781,medium
301869,low
64559,medium
508657,medium
306304,low
26989,low
176253,low
263912,medium
155573,medium
309809,low
395277,medium
286340,medium
155508,medium
74214,low
53801,medium
483635,medium
134452,medium
111072,medium
294278,medium
349815,medium
476582,low
296424,medium
57160,medium
109693,medium
78349,medium
89395,high
342344,medium
92815,medium
255643,low
223929,medium
66325,medium
166361,high
395980,medium
331408,low
193563,medium
271670,medium
500409,low
280823,low
408380,medium
350306,medium
67149,medium
54428,medium
100119,medium
26554,medium
355807,low
187314,medium
498614,medium
64632,medium
462923,medium
205024,medium
237097,medium
132676,medium
138462,medium
284877,medium
477871,medium
516087,medium
69594,medium
494505,medium
329444,medium
180870,low
313312,medium
489951,medium
95018,medium
311803,low
356583,low
108773,medium
136988,medium
412173,low
483128,low
194960,low
67826,medium
248564,medium
115947,medium
17919,medium
119970,medium
177532,medium
257934,low
326632,low
302928,medium
362874,medium
456819,medium
348490,low
19060,low
447472,medium
225934,medium
419422,low
491047,medium
248347,medium
259653,low
87346,medium
120020,medium
489666,low
161528,medium
14262,medium
188980,medium
104566,low
114583,low
166489,low
72948,medium
289040,medium
384141,low
143742,medium
208047,medium
328564,medium
390133,medium
28386,medium
151929,low
78317,high
14228,medium
340637,medium
151299,medium
231058,medium
70016,medium
50024,medium
94290,medium
443205,medium
366426,low
30356,medium
502809,medium
17302,medium
281957,low
112282,medium
499180,medium
80689,high
76841,medium
118187,low
359644,low
232105,medium
74200,low
152109,medium
244097,low
33854,low
51117,medium
491417,medium
229396,medium
298587,medium
473310,medium
40092,medium
237776,medium
57117,low
318382,medium
475674,low
450883,medium
360915,low
431834,low
397951,medium
14091,low
329147,low
23352,medium
464482,medium
100652,medium
5198,low
35614,low
136903,medium
241293,low
222022,medium
173581,medium
139767,medium
455117,low
338825,medium
240535,low
178134,medium
138376,medium
377600,medium
43658,medium
15377,medium
265770,medium
424715,medium
372609,medium
349636,medium
191077,low
214065,medium
109300,medium
131604,low
81752,medium
207277,low
229294,medium
135752,low
322355,medium
177096,medium
249280,medium
220209,low
101177,medium
310058,medium
85231,medium
376333,medium
498435,medium
498918,medium
345017,low
380235,low
79266,medium
487899,medium
399833,medium
132563,medium
23384,medium
13380,low
112774,medium
308218,medium
405886,medium
49252,medium
300593,low
483,low
86031,medium
387385,low
163022,low
479977,low
337357,medium
484017,medium
386624,low
411365,medium
407400,low
5238,medium
448612,medium
457619,low
94304,medium
489764,low
249479,low
259597,low
22929,low
159129,medium
322171,low
487917,medium
154021,medium
267973,medium
46240,medium
119145,low
394771,medium
89003,medium
51016,medium
435380,low
53452,medium
15687,low
516906,low
21338,medium
253261,medium
285439,medium
133287,medium
515315,medium
57197,medium
178746,low
217360,medium
262458,medium
277353,medium
114887,medium
232753,low
381423,medium
292952,low
501413,medium
28115,medium
75114,medium
81802,medium
144459,medium
419700,medium
392344,low
289204,medium
436810,medium
502455,medium
385241,medium
494054,medium
463186,medium
318281,low
102241,medium
173852,medium
228832,low
320950,low
333291,medium
157659,low
138274,low
513461,medium
83105,medium
219619,medium
304048,medium
279825,low
325012,medium
16312,low
208175,low
4119,medium
383530,medium
17386,low
474870,medium
229536,medium
161874,medium
479646,medium
177730,medium
413616,medium
246782,low
370113,medium
161795,low
285515,medium
501060,low
280069,low
171098,medium
433200,medium
443177,medium
184358,low
242373,medium
146229,medium
242996,medium
397936,medium
297683,medium
117165,medium
292624,medium
300412,medium
260212,medium
260242,low
235896,low
139764,medium
184994,medium
450073,medium
336970,low
160429,medium
343123,medium
436092,low
473735,medium
338640,medium
360925,medium
7924,medium
54978,medium
481986,medium
397886,medium
206993,medium
437556,medium
400737,medium
442568,medium
160678,medium
65185,medium
63822,medium
333517,medium
485607,low
125566,medium
41325,low
483793,medium
33052,medium
64071,medium
467945,medium
32595,medium
76009,low
170678,medium
160030,medium
125389,medium
321452,medium
236370,medium
279997,medium
217607,low
468739,low
159668,medium
432518,medium
95600,low
278861,medium
362539,medium
494534,medium
485976,low
169086,low
188315,medium
428238,medium
305154,medium
463037,low
55300,low
127567,medium
504314,medium
65637,low
172673,medium
338292,low
25306,medium
58218,low
168186,medium
102908,high
79933,medium
161187,low
338547,medium
153774,low
390115,medium
325097,medium
142106,low
332177,low
90496,medium
331326,low
324457,low
430943,medium
438749,medium
467527,medium
193322,medium
226683,medium
428340,high
311244,medium
74219,low
14773,low
232538,medium
487018,medium
446352,medium
407693,medium
220526,low
406872,medium
46468,medium
4211,low
104532,medium
239335,medium
48269,medium
402955,low
105399,low
315196,medium
42341,low
494989,low
260095,medium
37050,low
207797,medium
500638,low
150066,medium
404650,medium
492378,medium
164686,low
386770,medium
241020,medium
104852,low
53275,low
93241,medium
426733,medium
59230,high
408847,medium
279620,medium
235413,medium
134244,medium
448258,medium
358013,medium
97199,low
433641,medium
156912,medium
27787,low
262156,medium
128800,medium
428354,low
424923,low
391461,medium
64352,medium
419047,medium
260608,medium
222993,medium
396112,medium
6849,medium
17278,medium
414447,low
6936,medium
319473,medium
209295,high
316040,medium
116919,low
437024,medium
134822,low
87828,medium
384748,medium
284904,medium
124815,medium
135543,low
330097,medium
364609,low
343837,medium
309660,medium
17623,medium
137498,medium
411889,low
422937,medium
179195,low
148465,medium
141275,medium
16235,medium
53329,medium
457757,medium
185100,medium
94504,medium
467774,medium
113853,medium
58061,low
477685,medium
256322,medium
406405,medium
472459,medium
316345,low
251848,medium
182977,low
305634,low
235820,low
292360,medium
222132,low
394824,medium
399607,medium
180571,low
277844,medium
319853,low
465935,medium
491362,low
505279,medium
467064,medium
240715,medium
97296,low
6797,medium
492839,medium
139057,medium
438492,medium
367095,medium
441605,medium
501429,medium
382184,medium
6442,medium
146862,medium
337959,medium
299296,medium
506416,medium
48090,low
38945,low
1305,medium
490124,medium
191435,low
323832,medium
403196,medium
374354,medium
215467,low
515084,medium
504448,medium
344636,medium
106933,medium
485023,medium
402626,medium
84813,low
189074,low
285763,low
431510,medium
226581,medium
232507,low
99554,medium
9377,low
158044,medium
258974,low
474335,low
318043,low
291882,medium
16227,low
387824,medium
335295,medium
86606,medium
192988,low
441130,medium
387993,medium
70840,medium
512514,low
114649,low
259290,medium
216761,medium
232568,low
79715,medium
429429,low
421647,low
234344,low
82202,low
390243,medium
403107,medium
232983,low
6337,medium
30608,low
144079,medium
405392,medium
417486,medium
379623,medium
107199,medium
514186,medium
171795,medium
356758,medium
335129,medium
160683,medium
391115,medium
257659,medium
53071,medium
319105,medium
415489,low
289912,medium
340855,low
499213,low
