id,main-event,location,zone,light-conditions,weather-conditions,vehicles-density
clgr0xo4r55cm0796120tgpx3,near-collision,main-road,urban,daylight,cloudy,high
clgr0xo4r95rx077t2wqs6pew,collision,highway,urban,daylight,clear-sky,high
clgr0xo4t4o9w075scxc617if,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xo4t4oa0075sb2b2gu2n,near-collision,main-road,urban,daylight,cloudy,medium
clgr0xo4u35p40791cs59a15h,near-collision,main-road,suburbs,night,cloudy,medium
clgr0xo4t4ygq076o91ikdd34,collision,main-road,urban,night,clear-sky,high
clgr0xo4t7tw207ar0h9sh26g,collision,main-road,urban,daylight,clear-sky,high
clgr0wzmg7d5i07ar4g1p3o1q,near-collision,highway,urban,daylight,cloudy,high
clgr0wzmh3qzp076l79ub8655,collision,highway,unknown,daylight,cloudy,high
clgr0wzmh3r05076lhzmhay9m,near-collision,main-road,rural,daylight,cloudy,high
clgr0wzmi2ok80791fhay8mwp,near-collision,parking-lot,rural,daylight,clear-sky,low
clgr0wzmi3r1l076l86hi8u6h,near-collision,main-road,suburbs,daylight,clear-sky,high
clgr0wzmi4p7u07965nrz2z7x,near-collision,main-road,urban,night,clear-sky,high
clgr0wzmi4p8m0796d3b7129s,near-collision,parking-lot,suburbs,night,clear-sky,low
clgr0wzmh4f8y076o3sn86452,near-collision,alley,suburbs,night,clear-sky,low
clgr0wzmi453o075s74lm998t,near-collision,main-road,urban,daylight,cloudy,high
clgr0wzmi7day07ar9j999bqr,near-collision,main-road,urban,daylight,clear-sky,low
clgr0wzmi8y4m076z2oz8b89n,near-collision,main-road,urban,night,clear-sky,high
clgr0wzmj2on007911qpxayhr,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0v0813mcy076ogwuq499d,near-collision,main-road,urban,daylight,clear-sky,high
clgr0v0823dao075sadic0iw1,near-collision,main-road,urban,daylight,clear-sky,high
clgr0v0837qq6086sfeu5aue5,near-collision,main-road,urban,night,clear-sky,low
clgr0v0813mce076o2bj9e057,near-collision,main-road,suburbs,night,clear-sky,medium
clgr0v0823dag075s64swej3m,near-collision,main-road,urban,night,rain,low
clgr0v0827qmu086sffogamm4,near-collision,highway,rural,daylight,clear-sky,high
clgr0v082852y076z8z5g7bi6,near-collision,main-road,urban,night,clear-sky,medium
clgr0v0837qpu086s29qo36vx,near-collision,main-road,urban,daylight,cloudy,high
cljewyyws1uab077cceb6e7yq,near-collision,main-road,urban,daylight,cloudy,high
cljewyyws223z075j0gmr2a68,near-collision,main-road,urban,twilight,clear-sky,high
cljewyywt04s8076bgbsnaker,near-collision,main-road,urban,daylight,clear-sky,medium
cljewyywt04sg076beo7f7okn,near-collision,highway,urban,daylight,cloudy,high
cljewyywt04tg076bdmpdhhzb,collision,main-road,urban,night,clear-sky,high
cljewyywt0z0h0740atu81ihh,near-collision,main-road,urban,night,clear-sky,high
cljewyywt1kpw077e4f4vhozh,near-collision,main-road,urban,daylight,rain,high
cljewyywt1ucf077c90979dqz,near-collision,main-road,urban,night,clear-sky,high
cljewyywu04ug076b83xng1tl,near-collision,highway,unknown,twilight,cloudy,high
cljewyywu0z2x07402ble7asr,near-collision,main-road,urban,night,clear-sky,high
cljewyywu1p7h076xaq6m2oux,collision,main-road,urban,daylight,clear-sky,high
cljewyywv1ksw077ecvb3d2q0,near-collision,main-road,suburbs,night,clear-sky,high
cljewyywv1kts077eb9qwbwbl,near-collision,main-road,urban,night,clear-sky,medium
cljewyywv1ufj077cgb0y8nd2,near-collision,highway,urban,daylight,clear-sky,high
cljewyywv1ufz077cdicz1lqc,near-collision,main-road,urban,daylight,clear-sky,high
cljewyyww050c076b0x2g018j,near-collision,main-road,urban,daylight,clear-sky,high
cljewyyww0z7107408wpn6u3d,near-collision,main-road,urban,daylight,clear-sky,high
cljewyywo21vb075jehj80gq3,collision,main-road,urban,night,clear-sky,high
cljewyywoetw1074603zuafoo,near-collision,main-road,urban,night,clear-sky,high
cljewyywq04pc076bab0m1h1n,near-collision,main-road,urban,daylight,rain,high
cljewyywq21xz075j8ezmfjuz,near-collision,main-road,urban,night,clear-sky,high
cljewyywr04r0076b86zt8e5t,near-collision,main-road,urban,daylight,clear-sky,high
cljewyywr1kko077e5rcxfppy,collision,main-road,urban,daylight,cloudy,high
cljewyywr1u7v077c0n8m28tp,near-collision,main-road,urban,daylight,rain,medium
cljewyywr1kl0077e6k88croy,near-collision,highway,suburbs,night,clear-sky,medium
cljewyyws04r8076b7jo38f4u,near-collision,main-road,urban,daylight,clear-sky,high
cljewyyws04rw076ba59z0puj,near-collision,main-road,urban,daylight,cloudy,medium
cljewyyws1klo077e0alkg84n,near-collision,highway,urban,night,clear-sky,medium
clgr0yhnq0wxa078v64tf1fax,collision,main-road,urban,daylight,clear-sky,low
clgr0yhnq0za7078o66al6ui3,near-collision,main-road,urban,night,clear-sky,high
clgr0yhnq0zaf078o15780yrl,near-collision,main-road,urban,night,clear-sky,medium
clgr0yhnq2ao207aa5jke3fq8,near-collision,main-road,urban,twilight,rain,high
clgr0yhnq4qdu078p89el8wbx,near-collision,main-road,suburbs,daylight,cloudy,high
clgr0yhnq0z9z078od8zp9krt,near-collision,highway,urban,daylight,cloudy,medium
clgr0yhnq1oez078a1rqr8sa5,near-collision,main-road,urban,night,clear-sky,medium
clgr0yhnq2apa07aacsr77vag,near-collision,main-road,urban,daylight,cloudy,medium
clgr0yhnq9g72078642x29o01,collision,main-road,urban,night,clear-sky,medium
clgr0yhnr2aqq07aa9m7d5ave,collision,parking-lot,unknown,night,clear-sky,low
clgr0yhnr7212078sd29whrr2,near-collision,main-road,urban,daylight,clear-sky,low
clgr0yhnr9dvq07a9a3w2gjiv,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yhnr9dxe07a9h2fh5xhk,near-collision,main-road,urban,night,clear-sky,high
clgr0yhnr9f5t077t23id59ob,collision,main-road,urban,daylight,clear-sky,high
clgr0yhnr249y07750i3ce3ti,near-collision,highway,urban,daylight,clear-sky,high
clgr0yhnr24am0775fwyc686e,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yhnr2aqy07aa687w1jxv,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbbu4mhe076o8ibb5njv,near-collision,main-road,urban,night,clear-sky,low
clgr0xbbu7j0y07arc1gsf5r3,collision,main-road,urban,daylight,clear-sky,medium
clgr0xbbu955q076z88bi9zub,collision,highway,urban,night,cloudy,medium
clgr0xbbv1myq07756umw5zxx,near-collision,main-road,suburbs,daylight,cloudy,low
clgr0xbbv1mz207752jxrdadn,near-collision,main-road,urban,twilight,clear-sky,high
clgr0xbbv1mzm07750n4r7bwm,near-collision,main-road,urban,night,clear-sky,high
clgr0xbbv1mzy077569kgfn01,near-collision,highway,unknown,daylight,clear-sky,high
clgr0xbbv1v7y07aa26bq0mf1,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xbbv1v8m07aa054w60x2,near-collision,main-road,urban,night,clear-sky,low
clgr0xbbv6f9u078s7akoarh8,near-collision,main-road,urban,daylight,clear-sky,high
clgr0xbbv7j5e07ar8pq57nj8,near-collision,main-road,urban,daylight,cloudy,high
clgr0xbbv8qlm07a9higx1hcc,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xbbv8r6m0786h7wm8ksc,near-collision,main-road,urban,night,clear-sky,high
clgr0xbbv9059077t1jfa39wk,near-collision,main-road,urban,daylight,cloudy,low
clgr0xbbv956y076z72l31u4x,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbbw2usw07911x2b7m0u,near-collision,main-road,urban,daylight,cloudy,low
clgr0xbbu8r4u0786ehvxan8w,near-collision,main-road,urban,daylight,cloudy,high
clgr0xbbu955u076zhosaal97,near-collision,highway,urban,daylight,cloudy,low
clgr0xbbv4596078p6kbi9ie6,near-collision,highway,suburbs,night,clear-sky,high
clgr0xbbv4mku076o4hii1ft9,collision,highway,suburbs,daylight,clear-sky,medium
clgr0yrhv9h5u07a91dge72tl,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yrhv9ymi076zey0xfvu6,near-collision,main-road,urban,daylight,cloudy,high
clgr0yrhw3p3807910rusairo,near-collision,main-road,urban,daylight,cloudy,high
clgr0yrhw3p3c0791bj9r6ll9,near-collision,main-road,urban,daylight,cloudy,high
clgr0yrhw5osy07964chv20sx,near-collision,main-road,urban,daylight,clear-sky,low
clgr0yrhw9h6y07a91v1kb6t2,near-collision,main-road,urban,daylight,clear-sky,low
clgr0yrhw9h7207a9akascvnz,near-collision,main-road,suburbs,daylight,cloudy,high
clgr0yrhx2e4207aa5i3dcorw,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yrhx2e4607aag5dw2ds6,near-collision,main-road,suburbs,daylight,clear-sky,medium
clgr0xbad17wv078a120rg7t5,collision,main-road,urban,night,clear-sky,high
clgr0xbad1l2e07750p3hbbxv,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xbad43du078pa6ka9hkp,near-collision,highway,urban,night,clear-sky,medium
clgr0xbae1l6607758dw7edo5,near-collision,main-road,urban,night,clear-sky,high
clgr0xbae1l6a07757dc8gotq,near-collision,main-road,suburbs,night,clear-sky,high
clgr0xbae43h2078pg4wq1p03,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbae47gk075sdh545u0z,near-collision,highway,urban,night,clear-sky,high
clgr0xbag185b078ahfcbe9k1,collision,main-road,urban,daylight,clear-sky,high
clgr0xbag47k4075sedqnfhde,near-collision,main-road,urban,daylight,cloudy,low
clgr0xbah186v078a9ec6bpxw,near-collision,highway,urban,twilight,cloudy,low
clgr0xbah187z078abjt8dj6q,collision,main-road,suburbs,daylight,clear-sky,high
clgr0xbac3wrx076l68zkdcp4,collision,main-road,urban,daylight,cloudy,high
clgr0xbac6egq078scn864ozw,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xbad17xr078ahks1ehop,near-collision,main-road,urban,daylight,cloudy,low
clgr0xbae47h4075sc4m4glq9,collision,main-road,urban,night,clear-sky,high
clgr0xbae6ejy078s09v28a0f,near-collision,highway,unknown,night,rain,high
clgr0xbaf182v078a0p2q4re2,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xbaf43jq078p6csj64nc,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xbaf47i4075s9hxr263q,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbag43m6078p4t2o0j1q,near-collision,main-road,urban,daylight,rain,high
clgr0xbb02snc0791hgm04bb7,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbb04tqe079653sichyv,near-collision,main-road,urban,night,clear-sky,high
clgr0xbb1197f078ag90ke5pv,near-collision,highway,urban,daylight,cloudy,high
clgr0xbb1198j078a9mfh6c29,near-collision,highway,urban,daylight,cloudy,high
clgr0xbb14kg6076o28z0fiqa,near-collision,main-road,urban,night,clear-sky,low
clgr0xbb18y4d077t4hbr08nr,near-collision,main-road,urban,daylight,clear-sky,high
clgr0xbb1936a076za2902e96,near-collision,highway,rural,night,clear-sky,low
clgr0xbb19372076zdw7ee0mp,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xbb21993078a40k88rl8,collision,main-road,urban,night,clear-sky,high
clgr0xbb07h0u07arfxgee7rq,near-collision,main-road,urban,daylight,clear-sky,high
clgr0xbb1197z078a8p3y4hm3,near-collision,main-road,urban,daylight,cloudy,high
clgr0xbb14kfq076obxezeugt,near-collision,highway,urban,night,clear-sky,high
clgr0xbb24kjy076o6f5vegtn,near-collision,main-road,urban,night,clear-sky,low
clgr0xbb27h3y07ar7b8scgn2,near-collision,highway,urban,night,clear-sky,medium
clgr0xbb24tt60796f1k319s2,near-collision,highway,unknown,night,clear-sky,high
clgr0xbb24tti0796gftp1eil,near-collision,main-road,urban,daylight,cloudy,high
clgr0u8rs2gvv076l6xe74dlj,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8rs2gw3076l7ovheas0,near-collision,main-road,urban,night,clear-sky,low
clgr0u8rs198807910eau1j8q,near-collision,main-road,urban,night,clear-sky,low
clgr0u8rs7knm076z75v9har5,near-collision,main-road,rural,daylight,cloudy,low
clgr0vkib0lxr078a61ljdi0h,near-collision,main-road,urban,night,clear-sky,low
clgr0vkib15ja07754iega2eu,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0vkic15mq0775asfs0kel,near-collision,main-road,urban,daylight,clear-sky,high
clgr0vkic1axm07aa8x6r2i0p,collision,highway,suburbs,daylight,clear-sky,high
clgr0vkid0bbe078v2a9lbrs7,near-collision,highway,unknown,twilight,cloudy,high
clgr0y77g9lx6076z3ygs6js8,near-collision,highway,unknown,night,clear-sky,medium
clgr0y77g9lxy076z49qgca27,near-collision,main-road,urban,daylight,clear-sky,high
clgr0y77h3dk40791bg1r3ngb,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0y77h4gnh076lb7196nj1,near-collision,main-road,urban,night,clear-sky,high
clgr0y77h4go1076l7r6tbbl5,near-collision,main-road,urban,night,rain,low
clgr0y77h4mwe078p0qj853sg,near-collision,highway,urban,night,clear-sky,low
clgr0y77h4ruw075s3sk9bfge,near-collision,main-road,urban,daylight,cloudy,high
clgr0y77h4rvo075s5u0c8bz7,near-collision,main-road,urban,night,clear-sky,medium
clgr0y77h4rvs075sa6pu96p8,near-collision,alley,urban,daylight,cloudy,medium
clgr0y77h5d620796ax78hq5m,near-collision,main-road,suburbs,daylight,cloudy,low
clgr0y77h5kyr078h44vqavnr,near-collision,main-road,urban,night,rain,medium
clgr0y77h9a3207a92ja1etal,near-collision,main-road,urban,night,clear-sky,high
clgr0y77i286e07aa8uqf5fcs,near-collision,main-road,urban,night,clear-sky,high
clgr0y77i4gqx076l589n44b5,near-collision,main-road,urban,daylight,clear-sky,low
clgr0y77i4rxg075s6fh4fv1h,near-collision,main-road,urban,night,clear-sky,low
clgr0y77i5d6y07966vabfr7e,near-collision,main-road,suburbs,night,cloudy,medium
clgr0y77i5d960796etl94khd,near-collision,main-road,urban,night,clear-sky,high
clgr0y77h4rug075sdksh4cwy,near-collision,main-road,urban,daylight,clear-sky,high
clgr0y77h5d6e07964yj10g28,near-collision,main-road,urban,night,rain,medium
clgr0y77h6zim078sgs852cti,near-collision,main-road,urban,night,cloudy,medium
clgr0y77h9a2u07a93lja212b,near-collision,main-road,urban,daylight,clear-sky,high
clgr0y77i5kz7078he4jfcrdm,near-collision,main-road,urban,night,clear-sky,high
clgr0y77j288y07aa293bhxmr,collision,main-road,urban,daylight,clear-sky,medium
clgr0y77i4gq5076l8nilcm2k,near-collision,highway,urban,daylight,clear-sky,high
clgr0y77i4gqd076l30zsbtis,near-collision,main-road,urban,night,clear-sky,high
clgr0y77i9m2a076z1yz6c9gb,near-collision,main-road,urban,night,cloudy,medium
clgr0w30l3z36076oddcsd1d0,near-collision,highway,urban,night,clear-sky,medium
clgr0w30n3z86076o2uqkgl42,near-collision,main-road,urban,daylight,cloudy,medium
clgr0w30o3jja078pfkt5c3hy,near-collision,main-road,urban,daylight,clear-sky,low
clgr0un3z68sm07ar149kcz0g,collision,highway,unknown,daylight,clear-sky,high
clgr0un40557i078s2n9q5ke0,near-collision,main-road,urban,night,cloudy,low
clgr0un407evg086s6fh709qh,collision,highway,urban,daylight,clear-sky,high
clgr0un413dsm076o1f2lfce6,near-collision,main-road,rural,night,clear-sky,low
clgr0un3z7wmm076z43fx0l9j,near-collision,main-road,urban,daylight,cloudy,low
clgr0v03w2yrh076l5mx44mpg,near-collision,parking-lot,suburbs,daylight,clear-sky,low
clgr0v03x892x077t888x6jwe,near-collision,highway,rural,daylight,cloudy,high
clgr0uzzr6f3m07ar5sb55ryz,near-collision,main-road,suburbs,daylight,clear-sky,medium
clgr0uzzs6f6207ar2nleckpb,near-collision,main-road,suburbs,daylight,clear-sky,low
clgr0uzzs14i607aag150781j,collision,highway,suburbs,daylight,clear-sky,medium
clgr0uzzs14iq07aab7895mrs,near-collision,highway,suburbs,daylight,clear-sky,medium
clgr0uzzs1qgs07917xcghs5j,near-collision,highway,rural,daylight,clear-sky,high
clgr0uzzt1qi007915ral0gg4,near-collision,main-road,suburbs,daylight,clear-sky,medium
clgr0uzzt0e5v078aaw5k6vbu,near-collision,main-road,suburbs,night,clear-sky,high
clgr0u8m70sqm07aa6e2e01sd,near-collision,main-road,suburbs,daylight,clear-sky,medium
clgr0u8m72dcf076l92op6tkf,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8m72i1q078p9p9h2s8b,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8m72o48075sd6zy2v3l,near-collision,main-road,suburbs,daylight,clear-sky,high
clgr0u8m75vme07ar6odl0ynh,near-collision,main-road,urban,daylight,cloudy,high
clgr0u8m770a4086s1a8nd501,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8m77tdl077td3k89r97,near-collision,main-road,urban,daylight,clear-sky,low
clgr0u8m77tdt077th0vs1bsz,near-collision,highway,unknown,daylight,cloudy,high
clgr0u8m8050v078odp0w3fxq,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8m817hs0791epddhe25,near-collision,main-road,urban,daylight,cloudy,high
clgr0u8m82i5a078pfr9lcnwv,near-collision,alley,urban,daylight,clear-sky,high
clgr0u8m85vou07ar1en16jsf,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0u8m870bg086sd6pa1125,near-collision,highway,urban,daylight,clear-sky,medium
clgr0u8m901a3078a65jub1ob,near-collision,main-road,urban,daylight,clear-sky,high
clgr0u8m902km078v41mffe8b,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0u8m9052b078oc31729kj,near-collision,main-road,urban,daylight,cloudy,high
clgr0u8m92i6m078p7y8d8hr5,near-collision,highway,unknown,daylight,cloudy,high
clgr0u8m92o7k075sfqeg0d09,near-collision,main-road,urban,daylight,clear-sky,low
clgr0vkm48a3a076zcluneuhf,near-collision,main-road,urban,night,clear-sky,high
clgr0vkmb1zr80791fpno41uh,near-collision,main-road,urban,daylight,clear-sky,high
clgr0vkmd3fbu078p2vhl9n2y,near-collision,main-road,urban,night,clear-sky,high
clgr0vkmd3fc2078pctaihj1h,near-collision,main-road,urban,daylight,cloudy,high
clgr0vkmc1zt407910mtn03s2,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0w31f0egm078v5d1k4nts,collision,main-road,urban,night,clear-sky,medium
clgr0w31f8aac086s25s1bghf,near-collision,main-road,rural,night,clear-sky,low
clgr0w31g8ad4086s7z3ygxlp,collision,main-road,urban,daylight,rain,high
clgr0y72r1wj20775dtekgh5f,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0y72r1wje07759xeh83x4,near-collision,main-road,urban,daylight,clear-sky,low
clgr0y72r37v0079186presvs,near-collision,main-road,urban,night,clear-sky,high
clgr0y72r4bf1076lak82e1tm,near-collision,main-road,urban,night,clear-sky,medium
clgr0y72r6tuu078s41we7yvn,near-collision,main-road,urban,daylight,clear-sky,high
clgr0y72r6tw6078s5aydf1jh,near-collision,main-road,urban,night,clear-sky,medium
clgr0y72r94uu07a9htcy41tf,near-collision,main-road,suburbs,daylight,clear-sky,medium
clgr0y72r95sq078690zz83k5,near-collision,highway,urban,night,clear-sky,low
clgr0y72r98fh077tc5nrfi4x,near-collision,main-road,urban,night,clear-sky,high
clgr0y72s37w40791acft05o2,near-collision,main-road,urban,daylight,rain,low
clgr0y72r1wiq07753w8h7tre,collision,main-road,suburbs,daylight,rain,high
clgr0y72r4bep076l6k1n01fv,near-collision,main-road,urban,daylight,cloudy,low
clgr0y72s37x00791dbbr7tyg,collision,highway,suburbs,daylight,clear-sky,medium
clgr0y72s51l4076o3ov7a79i,near-collision,main-road,urban,daylight,rain,medium
clgr0y72s5g63078hbtho62y3,near-collision,highway,rural,night,clear-sky,medium
clgr0y72s6txu078sbdglgq2m,near-collision,main-road,urban,night,rain,high
clgr0y72s94vy07a9a5zuhrbr,near-collision,main-road,urban,night,cloudy,low
clgr0y72s98gx077tgkl43ne3,near-collision,main-road,urban,daylight,rain,high
clgr0y72r9ja6086s0osh9yar,near-collision,alley,urban,night,clear-sky,high
clgr0y72r9jaa086s0iwq1pz0,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0y72s94vq07a9g7262fg5,collision,main-road,suburbs,night,cloudy,low
clgr0y72s95u607860yrsdnda,near-collision,main-road,urban,night,clear-sky,low
clgr0y72s9jbi086scv9chw5o,near-collision,highway,unknown,daylight,clear-sky,high
clgr0un3666vy07ar4g9p27eq,near-collision,highway,suburbs,daylight,clear-sky,low
clgr0un373ln20796asi93zbu,near-collision,main-road,urban,daylight,cloudy,medium
clgr0un3766wm07ar342mdtbs,near-collision,main-road,suburbs,daylight,clear-sky,high
clgr0un387lgm07867lhn4l0x,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0un373cpi076oa8fv8qhb,near-collision,main-road,urban,daylight,clear-sky,high
clgr0un3866zi07ar7y536ivo,near-collision,alley,suburbs,daylight,cloudy,low
clgr0umyk7prm076zdcnl2nuh,near-collision,highway,suburbs,daylight,cloudy,low
clgr0umyl0eyf079094bibtkw,near-collision,main-road,suburbs,daylight,clear-sky,high
clgr0umym2rcq078phgqad0bb,collision,main-road,urban,night,clear-sky,medium
clgr0umyl2wqs075s0bmddm67,near-collision,highway,unknown,night,clear-sky,high
clgr0un0b3rev078h1jw12n4e,collision,main-road,urban,daylight,cloudy,high
clgr0un0d2mt7076l2u8n5lzt,near-collision,main-road,suburbs,twilight,cloudy,low
clgr0un0c3irm0796gjbr0amo,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0un0d2yxg075s9vbz4pnu,near-collision,highway,suburbs,daylight,clear-sky,high
clgr0un0e08n7078aabiq9bmz,near-collision,highway,urban,daylight,clear-sky,low
clgr0yho09frd077t9tpqdd7w,near-collision,highway,suburbs,daylight,clear-sky,high
clgr0yho05qkb078hd23vdsji,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yho172nu078s8q6saxrh,near-collision,main-road,urban,night,clear-sky,high
clgr0yho172o6078s9h151gdj,near-collision,main-road,urban,daylight,cloudy,high
clgr0xbau92ou076z34tx1z2p,near-collision,main-road,urban,daylight,rain,medium
clgr0xbav486s075s45cd22ui,near-collision,main-road,urban,night,clear-sky,high
clgr0xbav4k0y076o56pd81xn,near-collision,main-road,urban,daylight,rain,medium
clgr0xbav4k26076o1dbu13yl,near-collision,main-road,urban,daylight,rain,medium
clgr0xbav8otm07a9exoaezuk,near-collision,main-road,urban,night,clear-sky,medium
clgr0xbaw4tfq07961sm803e5,near-collision,highway,urban,twilight,clear-sky,medium
clgr0xbaw8owm07a90krdetlm,near-collision,main-road,urban,daylight,cloudy,high
clgr0xbav92qq076z2x213q0j,near-collision,main-road,urban,night,clear-sky,low
clgr0xbaw18tr078aaolnhl5y,near-collision,main-road,urban,daylight,cloudy,low
clgr0xbaw8ove07a9ar6m9e2m,collision,main-road,urban,daylight,clear-sky,low
